microtrip,avg speed,idle time %
microtrip_1.csv,0.0,100.0
microtrip_10.csv,0.0,100.0
microtrip_100.csv,0.0,100.0
microtrip_101.csv,0.0,100.0
microtrip_102.csv,0.0,100.0
microtrip_103.csv,0.0,100.0
microtrip_104.csv,0.0,100.0
microtrip_105.csv,0.0,100.0
microtrip_106.csv,0.0,100.0
microtrip_107.csv,0.0,100.0
microtrip_108.csv,0.0,100.0
microtrip_109.csv,0.0,100.0
microtrip_11.csv,0.0,100.0
microtrip_110.csv,0.0,100.0
microtrip_111.csv,0.0,100.0
microtrip_112.csv,0.0,100.0
microtrip_113.csv,0.0,100.0
microtrip_114.csv,0.0,100.0
microtrip_115.csv,0.0,100.0
microtrip_116.csv,0.0,100.0
microtrip_117.csv,0.0,100.0
microtrip_118.csv,0.0,100.0
microtrip_119.csv,0.0,100.0
microtrip_12.csv,0.0,100.0
microtrip_120.csv,0.0,100.0
microtrip_121.csv,0.0,100.0
microtrip_122.csv,0.0,100.0
microtrip_123.csv,0.0,100.0
microtrip_124.csv,0.0,100.0
microtrip_125.csv,0.0,100.0
microtrip_126.csv,0.22193548387096773,82.25806451612904
microtrip_127.csv,4.849890109890111,0.0
microtrip_128.csv,8.242885906040268,0.0
microtrip_129.csv,9.28462962962963,0.0
microtrip_13.csv,0.0,100.0
microtrip_130.csv,9.68034965034965,0.0
microtrip_131.csv,11.818266666666666,0.0
microtrip_132.csv,14.98976331360947,0.0
microtrip_133.csv,16.178681318681317,0.0
microtrip_134.csv,17.230240963855422,0.0
microtrip_135.csv,19.472285714285714,0.0
microtrip_136.csv,20.424861111111113,0.0
microtrip_137.csv,20.98119496855346,0.0
microtrip_138.csv,21.666571428571427,0.0
microtrip_139.csv,23.842076923076924,0.0
microtrip_14.csv,0.0,100.0
microtrip_140.csv,26.93562874251497,0.0
microtrip_141.csv,30.1406976744186,0.0
microtrip_142.csv,30.71757142857143,0.0
microtrip_143.csv,32.220555555555556,0.0
microtrip_144.csv,32.98741935483871,0.0
microtrip_145.csv,33.92179487179487,0.0
microtrip_146.csv,33.95512658227848,0.0
microtrip_147.csv,34.24664772727272,0.0
microtrip_148.csv,34.225319148936165,0.0
microtrip_149.csv,34.1339,0.0
microtrip_15.csv,0.0,100.0
microtrip_150.csv,33.31983050847458,0.0
microtrip_151.csv,21.167887323943663,12.676056338028168
microtrip_152.csv,7.0221582733812955,64.74820143884892
microtrip_153.csv,0.0,100.0
microtrip_154.csv,0.0,100.0
microtrip_155.csv,0.0,100.0
microtrip_156.csv,0.0,100.0
microtrip_157.csv,0.0,100.0
microtrip_158.csv,0.0,100.0
microtrip_159.csv,0.0,100.0
microtrip_16.csv,0.0,100.0
microtrip_160.csv,0.0,100.0
microtrip_161.csv,0.0,100.0
microtrip_162.csv,0.0,100.0
microtrip_163.csv,0.0,100.0
microtrip_164.csv,0.0,100.0
microtrip_165.csv,0.0,100.0
microtrip_166.csv,0.0,100.0
microtrip_167.csv,0.0,100.0
microtrip_168.csv,0.0,100.0
microtrip_169.csv,0.0,100.0
microtrip_17.csv,0.0,100.0
microtrip_170.csv,0.0,100.0
microtrip_171.csv,0.0,100.0
microtrip_172.csv,0.0,100.0
microtrip_173.csv,0.0,100.0
microtrip_174.csv,9.812209302325583,81.3953488372093
microtrip_175.csv,42.96364406779661,0.0
microtrip_176.csv,30.601837837837838,0.0
microtrip_177.csv,29.656710526315795,0.0
microtrip_178.csv,29.25173076923077,0.0
microtrip_179.csv,28.441428571428574,0.0
microtrip_18.csv,0.0,100.0
microtrip_180.csv,27.64687150837989,0.0
microtrip_181.csv,27.730141843971634,0.0
microtrip_182.csv,28.627045454545453,0.0
microtrip_183.csv,29.83814285714286,0.0
microtrip_184.csv,31.160106382978725,0.0
microtrip_185.csv,32.020526315789475,0.0
microtrip_186.csv,32.073125,0.0
microtrip_187.csv,31.594010152284266,0.0
microtrip_188.csv,30.815408163265303,0.0
microtrip_189.csv,30.463876404494382,0.0
microtrip_19.csv,0.0,100.0
microtrip_190.csv,30.932258064516127,0.0
microtrip_191.csv,32.441286549707606,0.0
microtrip_192.csv,33.4491052631579,0.0
microtrip_193.csv,33.77439999999999,0.0
microtrip_194.csv,33.8869512195122,0.0
microtrip_195.csv,33.15902702702703,0.0
microtrip_196.csv,32.8488717948718,0.0
microtrip_197.csv,33.33608695652173,0.0
microtrip_198.csv,34.23893081761006,0.0
microtrip_199.csv,34.68537735849056,0.0
microtrip_2.csv,0.0,100.0
microtrip_20.csv,0.0,100.0
microtrip_200.csv,35.010625000000005,0.0
microtrip_201.csv,35.33296296296297,0.0
microtrip_202.csv,35.47425373134328,0.0
microtrip_203.csv,35.45235294117647,0.0
microtrip_204.csv,35.29548780487804,0.0
microtrip_205.csv,34.83139784946237,0.0
microtrip_206.csv,34.63934065934066,0.0
microtrip_207.csv,34.40718518518518,0.0
microtrip_208.csv,34.08360655737705,0.0
microtrip_209.csv,34.05709090909091,0.0
microtrip_21.csv,0.0,100.0
microtrip_210.csv,33.87967320261438,0.0
microtrip_211.csv,33.75537688442211,0.0
microtrip_212.csv,33.88713483146067,0.0
microtrip_213.csv,34.00694444444445,0.0
microtrip_214.csv,34.02273684210526,0.0
microtrip_215.csv,34.00436464088398,0.0
microtrip_216.csv,33.89322368421053,0.0
microtrip_217.csv,33.91350993377484,0.0
microtrip_218.csv,33.841147540983606,0.0
microtrip_219.csv,33.89833333333334,0.0
microtrip_22.csv,0.0,100.0
microtrip_220.csv,33.979447852760735,0.0
microtrip_221.csv,33.80354166666667,0.0
microtrip_222.csv,33.888714285714286,0.0
microtrip_223.csv,33.04121827411168,0.0
microtrip_224.csv,30.88115942028986,0.0
microtrip_225.csv,29.64472392638037,0.0
microtrip_226.csv,27.120303030303035,0.0
microtrip_227.csv,22.206946107784432,0.0
microtrip_228.csv,16.179019607843138,0.0
microtrip_229.csv,14.123560606060606,0.0
microtrip_23.csv,0.0,100.0
microtrip_230.csv,16.495192307692307,0.0
microtrip_231.csv,18.910909090909094,0.0
microtrip_232.csv,19.482650602409638,6.626506024096386
microtrip_233.csv,24.502528735632186,0.0
