Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
34.5,158.35,0.48
34.5,158.36,0.0
34.46,158.37,-0.12
34.54,158.38,0.23
34.62,158.39,0.22
34.66,158.4,0.1
34.65,158.41,-0.01
34.68,158.42,0.07
34.62,158.43,-0.15
34.49,158.44,-0.39
34.31,158.45,-0.5
34.21,158.46,-0.27
34.07,158.47,-0.4
34.05,158.48,-0.06
34.08,158.49,0.08
33.85,158.5,-0.65
33.78,158.51,-0.22
33.81,158.52,0.1
33.96,158.53,0.43
34.17,158.54,0.6
34.21,158.55,0.11
34.04,158.56,-0.5
33.81,158.57,-0.64
33.91,158.58,0.27
33.89,158.59,-0.05
33.88,158.6,-0.02
33.84,158.61,-0.13
33.76,158.62,-0.21
33.79,158.63,0.07
33.92,158.64,0.38
34.18,158.65,0.73
34.25,158.66,0.2
34.28,158.67,0.07
34.37,158.68,0.24
34.41,158.69,0.12
34.31,158.7,-0.28
34.12,158.71,-0.54
34.16,158.72,0.11
34.09,158.73,-0.18
34.11,158.74,0.05
34.14,158.75,0.08
34.17,158.76,0.09
34.15,158.77,-0.05
34.28,158.78,0.37
34.46,158.79,0.51
34.63,158.8,0.47
34.58,158.81,-0.14
34.34,158.82,-0.69
34.21,158.83,-0.37
34.22,158.84,0.04
34.17,158.85,-0.13
34.16,158.86,-0.05
34.15,158.87,-0.01
34.2,158.88,0.13
34.29,158.89,0.25
34.27,158.9,-0.05
34.43,158.91,0.45
34.33,158.92,-0.3
34.23,158.93,-0.27
34.25,158.94,0.06
34.15,158.95,-0.28
34.13,158.96,-0.06
34.15,158.97,0.06
34.2,158.98,0.13
34.17,158.99,-0.1
34.06,159.0,-0.3
33.99,159.01,-0.2
33.77,159.02,-0.63
33.74,159.03,-0.07
33.74,159.04,0.0
33.82,159.05,0.22
34.15,159.06,0.94
34.27,159.07,0.33
34.24,159.08,-0.08
34.38,159.09,0.39
34.4,159.1,0.07
34.34,159.11,-0.17
34.07,159.12,-0.77
33.99,159.13,-0.24
33.77,159.14,-0.62
33.82,159.15,0.15
33.93,159.16,0.31
34.02,159.17,0.26
34.04,159.18,0.07
34.12,159.19,0.23
34.07,159.2,-0.15
34.2,159.21,0.36
34.17,159.22,-0.08
34.23,159.23,0.16
34.16,159.24,-0.18
34.26,159.25,0.27
