Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
33.51,793.0,0.07
33.52,793.01,0.02
33.67,793.02,0.43
33.71,793.03,0.11
33.92,793.04,0.59
33.98,793.05,0.16
33.69,793.06,-0.81
33.8,793.07,0.31
33.92,793.08,0.36
34.06,793.09,0.37
33.9,793.1,-0.45
33.7,793.11,-0.55
33.55,793.12,-0.43
33.49,793.13,-0.18
33.4,793.14,-0.23
33.34,793.15,-0.18
32.97,793.16,-1.06
33.02,793.17,0.15
33.0,793.18,-0.07
33.11,793.19,0.32
33.47,793.2,1.03
33.49,793.21,0.03
33.74,793.22,0.71
33.74,793.23,0.02
33.66,793.24,-0.24
33.65,793.25,-0.04
33.6,793.26,-0.12
33.35,793.27,-0.72
33.46,793.28,0.29
33.41,793.29,-0.13
33.51,793.3,0.29
33.63,793.31,0.35
33.59,793.32,-0.14
33.41,793.33,-0.49
33.59,793.34,0.51
33.93,793.35,0.95
34.04,793.36,0.32
34.26,793.37,0.62
34.29,793.38,0.08
34.23,793.39,-0.17
34.12,793.4,-0.3
34.03,793.41,-0.27
33.8,793.42,-0.63
33.84,793.43,0.09
33.85,793.44,0.04
34.1,793.45,0.7
34.01,793.46,-0.25
33.89,793.47,-0.33
34.16,793.48,0.76
34.11,793.49,-0.13
34.29,793.5,0.5
34.48,793.51,0.55
34.28,793.52,-0.58
34.32,793.53,0.13
34.15,793.54,-0.5
33.81,793.55,-0.97
34.01,793.56,0.57
34.08,793.57,0.2
33.84,793.58,-0.68
33.8,793.59,-0.1
33.85,793.6,0.14
33.77,793.61,-0.25
34.21,793.62,1.25
34.28,793.63,0.18
34.48,793.64,0.58
34.51,793.65,0.09
34.64,793.66,0.36
34.66,793.67,0.06
34.53,793.68,-0.36
34.38,793.69,-0.44
34.27,793.7,-0.29
34.3,793.71,0.08
34.49,793.72,0.53
34.6,793.73,0.33
34.15,793.74,-1.28
34.06,793.75,-0.26
33.99,793.76,-0.2
34.02,793.77,0.08
34.03,793.78,0.02
34.28,793.79,0.72
34.28,793.8,0.0
34.67,793.81,1.1
34.69,793.82,0.04
34.81,793.83,0.35
34.89,793.84,0.23
34.87,793.85,-0.06
34.78,793.86,-0.25
34.54,793.87,-0.67
34.48,793.88,-0.17
34.58,793.89,0.27
34.65,793.9,0.2
34.51,793.91,-0.39
34.43,793.92,-0.24
34.36,793.93,-0.21
34.53,793.94,0.48
34.61,793.95,0.24
34.69,793.96,0.22
34.93,793.97,0.69
34.9,793.98,-0.08
35.01,793.99,0.29
