Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
12.61,285.0,1.5
13.18,285.01,1.6
13.25,285.02,0.21
13.46,285.03,0.58
14.37,285.04,2.57
15.99,285.05,4.59
17.08,285.06,3.09
17.49,285.07,1.18
18.38,285.08,2.52
19.13,285.09,2.12
19.04,285.1,-0.26
18.87,285.11,-0.49
17.76,285.12,-3.14
16.01,285.13,-4.94
14.99,285.14,-2.89
15.34,285.15,1.0
15.52,285.16,0.49
15.6,285.17,0.24
16.39,285.18,2.23
17.05,285.19,1.88
16.51,285.2,-1.53
15.77,285.21,-2.11
15.18,285.22,-1.68
14.54,285.23,-1.81
14.07,285.24,-1.31
13.95,285.25,-0.35
14.84,285.26,2.52
14.92,285.27,0.25
15.71,285.28,2.23
16.87,285.29,3.3
16.9,285.3,0.08
17.06,285.31,0.45
16.47,285.32,-1.67
15.8,285.33,-1.9
16.33,285.34,1.5
16.52,285.35,0.53
15.69,285.36,-2.33
15.59,285.37,-0.28
14.69,285.38,-2.55
14.77,285.39,0.22
14.8,285.4,0.09
14.52,285.41,-0.8
15.54,285.42,2.89
15.26,285.43,-0.79
14.19,285.44,-3.04
14.15,285.45,-0.11
14.5,285.46,0.99
15.31,285.47,2.31
14.35,285.48,-2.73
14.7,285.49,0.99
15.93,285.5,3.48
16.43,285.51,1.43
17.61,285.52,3.35
17.06,285.53,-1.57
16.15,285.54,-2.57
16.47,285.55,0.9
16.89,285.56,1.18
17.44,285.57,1.57
17.3,285.58,-0.38
17.27,285.59,-0.09
17.37,285.6,0.26
16.2,285.61,-3.3
15.07,285.62,-3.2
15.51,285.63,1.24
15.89,285.64,1.07
17.17,285.65,3.63
17.21,285.66,0.13
16.44,285.67,-2.18
16.33,285.68,-0.33
16.93,285.69,1.71
16.79,285.7,-0.39
16.98,285.71,0.54
17.39,285.72,1.18
16.91,285.73,-1.37
16.08,285.74,-2.37
15.97,285.75,-0.31
15.69,285.76,-0.79
15.88,285.77,0.55
16.4,285.78,1.47
17.19,285.79,2.23
18.86,285.8,4.75
18.95,285.81,0.24
19.3,285.82,0.99
19.02,285.83,-0.78
18.47,285.84,-1.58
18.9,285.85,1.22
18.43,285.86,-1.31
18.74,285.87,0.88
18.6,285.88,-0.41
18.16,285.89,-1.24
17.6,285.9,-1.6
16.85,285.91,-2.13
16.41,285.92,-1.24
15.94,285.93,-1.33
15.82,285.94,-0.33
15.84,285.95,0.07
16.55,285.96,2.01
16.51,285.97,-0.1
17.43,285.98,2.59
18.04,285.99,1.72
