Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
26.24,170.0,2.4
26.32,170.01,0.22
25.85,170.02,-1.33
24.81,170.03,-2.95
24.37,170.04,-1.24
24.59,170.05,0.63
24.55,170.06,-0.11
24.65,170.07,0.28
24.22,170.08,-1.22
24.35,170.09,0.36
24.26,170.1,-0.25
24.82,170.11,1.59
24.54,170.12,-0.81
22.7,170.13,-5.2
21.01,170.14,-4.79
21.73,170.15,2.03
22.0,170.16,0.76
21.95,170.17,-0.12
22.0,170.18,0.12
21.49,170.19,-1.44
21.45,170.2,-0.1
22.38,170.21,2.64
23.71,170.22,3.77
24.6,170.23,2.52
25.01,170.24,1.15
24.95,170.25,-0.18
24.19,170.26,-2.15
23.96,170.27,-0.66
23.84,170.28,-0.34
24.34,170.29,1.41
24.74,170.3,1.15
25.43,170.31,1.94
25.22,170.32,-0.58
25.44,170.33,0.6
26.02,170.34,1.64
25.94,170.35,-0.22
25.77,170.36,-0.47
26.34,170.37,1.59
26.96,170.38,1.76
26.01,170.39,-2.68
26.03,170.4,0.05
25.84,170.41,-0.54
26.65,170.42,2.29
26.7,170.43,0.13
26.88,170.44,0.51
26.28,170.45,-1.69
24.9,170.46,-3.91
23.93,170.47,-2.75
24.28,170.48,1.0
25.24,170.49,2.72
26.61,170.5,3.86
25.43,170.51,-3.32
25.34,170.52,-0.27
24.27,170.53,-3.02
24.15,170.54,-0.36
24.36,170.55,0.62
25.16,170.56,2.25
25.94,170.57,2.22
26.13,170.58,0.53
26.44,170.59,0.89
26.47,170.6,0.09
26.42,170.61,-0.15
26.36,170.62,-0.17
26.2,170.63,-0.46
26.07,170.64,-0.37
25.63,170.65,-1.25
25.6,170.66,-0.09
25.68,170.67,0.22
26.52,170.68,2.39
26.45,170.69,-0.2
26.94,170.7,1.4
27.03,170.71,0.24
26.38,170.72,-1.84
26.31,170.73,-0.2
26.51,170.74,0.59
26.67,170.75,0.45
26.13,170.76,-1.55
26.78,170.77,1.84
26.47,170.78,-0.86
26.46,170.79,-0.03
26.92,170.8,1.29
26.28,170.81,-1.8
26.41,170.82,0.35
26.14,170.83,-0.75
26.5,170.84,1.0
26.53,170.85,0.1
27.03,170.86,1.41
27.35,170.87,0.91
28.18,170.88,2.34
28.91,170.89,2.07
28.78,170.9,-0.36
28.3,170.91,-1.37
28.15,170.92,-0.42
27.22,170.93,-2.62
27.07,170.94,-0.44
27.54,170.95,1.34
27.4,170.96,-0.41
25.14,170.97,-6.39
24.84,170.98,-0.84
25.18,170.99,0.95
