Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
18.98,584.0,0.2
19.08,584.01,0.3
19.37,584.02,0.81
19.54,584.03,0.48
19.54,584.04,0.0
19.54,584.05,0.0
19.64,584.06,0.29
19.77,584.07,0.36
19.63,584.08,-0.38
19.89,584.09,0.73
19.76,584.1,-0.38
19.64,584.11,-0.33
19.74,584.12,0.29
19.77,584.13,0.08
19.86,584.14,0.27
20.0,584.15,0.38
19.99,584.16,-0.01
19.88,584.17,-0.32
19.82,584.18,-0.16
19.69,584.19,-0.37
19.65,584.2,-0.13
19.58,584.21,-0.2
19.59,584.22,0.03
19.66,584.23,0.21
19.7,584.24,0.12
19.83,584.25,0.36
20.22,584.26,1.11
20.24,584.27,0.04
20.53,584.28,0.83
20.46,584.29,-0.18
20.74,584.3,0.79
20.86,584.31,0.33
20.72,584.32,-0.38
20.57,584.33,-0.43
20.59,584.34,0.07
20.68,584.35,0.25
20.51,584.36,-0.5
20.49,584.37,-0.04
20.7,584.38,0.58
20.7,584.39,-0.01
20.8,584.4,0.28
20.73,584.41,-0.19
20.42,584.42,-0.87
20.45,584.43,0.07
20.22,584.44,-0.64
20.19,584.45,-0.09
20.26,584.46,0.22
20.26,584.47,-0.02
20.56,584.48,0.86
20.9,584.49,0.97
20.82,584.5,-0.23
20.95,584.51,0.38
20.81,584.52,-0.41
20.83,584.53,0.06
20.89,584.54,0.17
20.99,584.55,0.28
21.08,584.56,0.26
21.19,584.57,0.31
21.24,584.58,0.13
21.37,584.59,0.37
21.45,584.6,0.23
21.49,584.61,0.11
21.48,584.62,-0.03
21.52,584.63,0.12
21.56,584.64,0.1
21.7,584.65,0.39
21.81,584.66,0.32
21.93,584.67,0.35
22.0,584.68,0.18
22.11,584.69,0.33
22.21,584.7,0.28
21.81,584.71,-1.13
21.9,584.72,0.25
21.9,584.73,0.01
22.01,584.74,0.29
22.2,584.75,0.56
22.22,584.76,0.06
21.99,584.77,-0.66
21.79,584.78,-0.58
21.43,584.79,-1.0
21.28,584.8,-0.44
21.23,584.81,-0.14
21.26,584.82,0.11
21.49,584.83,0.63
21.45,584.84,-0.11
21.5,584.85,0.15
21.55,584.86,0.14
21.46,584.87,-0.26
21.85,584.88,1.1
22.24,584.89,1.11
22.47,584.9,0.63
22.34,584.91,-0.35
22.11,584.92,-0.65
21.8,584.93,-0.88
21.55,584.94,-0.72
21.6,584.95,0.14
21.47,584.96,-0.37
21.58,584.97,0.33
