Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
32.82,682.47,0.16
32.66,682.48,-0.45
32.76,682.49,0.28
32.98,682.5,0.65
32.78,682.51,-0.57
32.74,682.52,-0.11
32.92,682.53,0.49
33.04,682.54,0.36
33.22,682.55,0.51
33.32,682.56,0.27
33.43,682.57,0.33
33.24,682.58,-0.54
33.24,682.59,0.01
33.14,682.6,-0.3
32.91,682.61,-0.63
32.81,682.62,-0.29
32.67,682.63,-0.4
32.65,682.64,-0.06
32.66,682.65,0.04
33.09,682.66,1.2
33.29,682.67,0.58
33.19,682.68,-0.29
33.17,682.69,-0.04
32.78,682.7,-1.1
32.26,682.71,-1.5
32.2,682.72,-0.15
32.36,682.73,0.45
32.56,682.74,0.57
32.85,682.75,0.82
32.94,682.76,0.25
32.88,682.77,-0.16
33.09,682.78,0.58
33.02,682.79,-0.18
33.24,682.8,0.62
33.42,682.81,0.49
33.32,682.82,-0.28
32.93,682.83,-1.09
32.89,682.84,-0.13
32.98,682.85,0.26
33.23,682.86,0.71
32.88,682.87,-0.98
32.61,682.88,-0.77
32.21,682.89,-1.15
31.83,682.9,-1.06
31.83,682.91,-0.01
31.91,682.92,0.22
31.92,682.93,0.03
32.11,682.94,0.54
32.65,682.95,1.52
32.98,682.96,0.93
33.48,682.97,1.43
33.47,682.98,-0.05
33.61,682.99,0.41
33.75,683.0,0.4
33.73,683.01,-0.06
33.7,683.02,-0.09
33.35,683.03,-0.98
32.84,683.04,-1.44
32.43,683.05,-1.18
32.69,683.06,0.74
32.73,683.07,0.11
33.15,683.08,1.19
33.2,683.09,0.15
33.17,683.1,-0.08
33.25,683.11,0.22
33.11,683.12,-0.41
32.82,683.13,-0.82
32.92,683.14,0.3
32.89,683.15,-0.08
32.89,683.16,0.0
32.79,683.17,-0.27
33.05,683.18,0.72
32.88,683.19,-0.48
32.87,683.2,-0.04
32.45,683.21,-1.17
32.19,683.22,-0.73
32.09,683.23,-0.3
32.54,683.24,1.27
32.6,683.25,0.17
32.6,683.26,0.01
32.86,683.27,0.75
33.14,683.28,0.78
33.34,683.29,0.58
33.31,683.3,-0.1
33.3,683.31,-0.03
32.97,683.32,-0.95
32.66,683.33,-0.87
32.55,683.34,-0.31
32.63,683.35,0.23
32.56,683.36,-0.21
32.43,683.37,-0.37
32.55,683.38,0.34
32.91,683.39,1.03
33.07,683.4,0.44
32.72,683.41,-0.98
32.6,683.42,-0.36
32.5,683.43,-0.26
32.66,683.44,0.44
32.57,683.45,-0.27
32.62,683.46,0.14
32.38,683.47,-0.67
32.46,683.48,0.24
32.47,683.49,0.03
32.58,683.5,0.31
32.66,683.51,0.22
32.84,683.52,0.52
32.83,683.53,-0.02
32.97,683.54,0.39
32.97,683.55,0.01
32.99,683.56,0.04
33.26,683.57,0.78
33.06,683.58,-0.58
33.0,683.59,-0.16
32.63,683.6,-1.06
32.52,683.61,-0.3
32.55,683.62,0.1
32.76,683.63,0.58
32.67,683.64,-0.26
32.61,683.65,-0.16
32.84,683.66,0.65
33.08,683.67,0.66
33.06,683.68,-0.05
33.29,683.69,0.66
33.54,683.7,0.71
33.39,683.71,-0.42
33.03,683.72,-1.03
32.51,683.73,-1.48
32.63,683.74,0.35
32.74,683.75,0.31
32.8,683.76,0.18
32.9,683.77,0.27
32.93,683.78,0.07
32.86,683.79,-0.18
33.06,683.8,0.56
33.05,683.81,-0.03
32.86,683.82,-0.54
32.9,683.83,0.11
33.01,683.84,0.3
32.85,683.85,-0.44
32.87,683.86,0.03
33.0,683.87,0.37
32.6,683.88,-1.13
32.59,683.89,-0.01
32.66,683.9,0.2
32.54,683.91,-0.34
32.58,683.92,0.11
32.41,683.93,-0.47
32.54,683.94,0.37
32.57,683.95,0.06
32.64,683.96,0.21
32.64,683.97,-0.01
32.59,683.98,-0.12
32.71,683.99,0.33
