Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
31.3,227.0,-1.4
31.32,227.01,0.05
31.34,227.02,0.05
31.09,227.03,-0.69
30.92,227.04,-0.48
30.99,227.05,0.2
31.2,227.06,0.6
31.29,227.07,0.23
32.54,227.08,3.54
33.61,227.09,3.03
33.09,227.1,-1.47
32.54,227.11,-1.55
32.38,227.12,-0.46
32.34,227.13,-0.12
32.61,227.14,0.79
32.71,227.15,0.28
32.32,227.16,-1.13
32.33,227.17,0.03
32.36,227.18,0.1
31.64,227.19,-2.05
31.55,227.2,-0.25
31.84,227.21,0.82
31.86,227.22,0.07
32.1,227.23,0.68
32.13,227.24,0.07
32.04,227.25,-0.24
32.41,227.26,1.05
32.39,227.27,-0.05
31.91,227.28,-1.36
32.05,227.29,0.39
32.17,227.3,0.35
32.73,227.31,1.57
32.72,227.32,-0.02
32.47,227.33,-0.7
32.53,227.34,0.16
32.03,227.35,-1.39
32.3,227.36,0.76
32.23,227.37,-0.2
32.72,227.38,1.38
32.38,227.39,-0.98
32.05,227.4,-0.91
32.32,227.41,0.75
32.48,227.42,0.46
32.1,227.43,-1.08
31.65,227.44,-1.28
31.91,227.45,0.72
32.01,227.46,0.31
31.51,227.47,-1.43
31.45,227.48,-0.16
31.47,227.49,0.05
31.37,227.5,-0.28
31.59,227.51,0.63
31.73,227.52,0.4
31.41,227.53,-0.91
31.67,227.54,0.74
31.51,227.55,-0.45
31.6,227.56,0.24
31.46,227.57,-0.38
31.32,227.58,-0.41
31.6,227.59,0.78
32.0,227.6,1.15
32.56,227.61,1.58
32.6,227.62,0.12
32.72,227.63,0.33
32.39,227.64,-0.93
32.28,227.65,-0.32
31.93,227.66,-1.0
31.61,227.67,-0.91
31.31,227.68,-0.85
31.3,227.69,-0.02
31.61,227.7,0.87
31.41,227.71,-0.57
31.64,227.72,0.66
32.08,227.73,1.24
32.15,227.74,0.2
31.84,227.75,-0.86
31.84,227.76,-0.02
31.66,227.77,-0.5
31.33,227.78,-0.94
31.89,227.79,1.6
31.9,227.8,0.01
32.21,227.81,0.89
32.39,227.82,0.49
32.42,227.83,0.08
32.13,227.84,-0.81
31.93,227.85,-0.57
31.73,227.86,-0.57
31.9,227.87,0.48
32.21,227.88,0.88
32.33,227.89,0.34
32.64,227.9,0.88
32.35,227.91,-0.8
31.84,227.92,-1.46
31.6,227.93,-0.67
31.58,227.94,-0.06
31.68,227.95,0.29
31.46,227.96,-0.64
31.6,227.97,0.4
31.83,227.98,0.66
31.68,227.99,-0.42
