Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
28.54,588.64,-0.22
28.74,588.65,0.57
28.55,588.66,-0.54
28.51,588.67,-0.13
29.24,588.68,2.06
29.04,588.69,-0.57
29.17,588.7,0.39
28.85,588.71,-0.9
28.9,588.72,0.12
29.35,588.73,1.27
29.05,588.74,-0.84
29.16,588.75,0.31
29.33,588.76,0.49
29.36,588.77,0.08
29.2,588.78,-0.46
29.38,588.79,0.52
29.07,588.8,-0.87
28.6,588.81,-1.35
28.51,588.82,-0.24
28.32,588.83,-0.55
28.54,588.84,0.63
28.96,588.85,1.19
28.93,588.86,-0.08
28.76,588.87,-0.48
28.46,588.88,-0.87
28.45,588.89,-0.03
28.13,588.9,-0.9
28.37,588.91,0.67
28.57,588.92,0.58
28.55,588.93,-0.05
28.91,588.94,1.02
29.14,588.95,0.65
29.22,588.96,0.22
29.02,588.97,-0.57
28.83,588.98,-0.53
28.97,588.99,0.4
29.05,589.0,0.2
28.82,589.01,-0.63
29.05,589.02,0.65
28.86,589.03,-0.53
29.07,589.04,0.58
28.82,589.05,-0.71
28.61,589.06,-0.6
28.38,589.07,-0.65
28.6,589.08,0.61
28.62,589.09,0.08
28.69,589.1,0.2
28.37,589.11,-0.93
28.05,589.12,-0.89
28.16,589.13,0.3
28.5,589.14,0.97
28.36,589.15,-0.41
28.28,589.16,-0.2
28.12,589.17,-0.47
27.93,589.18,-0.53
27.93,589.19,-0.01
27.9,589.2,-0.07
28.47,589.21,1.61
28.92,589.22,1.27
29.18,589.23,0.76
29.5,589.24,0.9
29.7,589.25,0.57
30.0,589.26,0.85
29.88,589.27,-0.35
29.79,589.28,-0.27
29.22,589.29,-1.59
28.83,589.3,-1.11
28.69,589.31,-0.41
28.02,589.32,-1.9
27.52,589.33,-1.42
27.26,589.34,-0.72
27.46,589.35,0.56
27.46,589.36,-0.01
27.25,589.37,-0.58
26.52,589.38,-2.06
26.28,589.39,-0.7
26.98,589.4,1.99
27.99,589.41,2.87
28.23,589.42,0.68
28.22,589.43,-0.02
28.44,589.44,0.62
27.87,589.45,-1.62
28.02,589.46,0.42
27.95,589.47,-0.2
28.48,589.48,1.5
28.74,589.49,0.75
29.01,589.5,0.74
29.08,589.51,0.2
28.9,589.52,-0.5
28.69,589.53,-0.6
28.02,589.54,-1.9
27.23,589.55,-2.23
26.92,589.56,-0.86
26.59,589.57,-0.96
26.11,589.58,-1.34
26.59,589.59,1.34
26.91,589.6,0.91
27.39,589.61,1.37
27.7,589.62,0.87
28.05,589.63,0.98
28.35,589.64,0.87
28.17,589.65,-0.52
28.37,589.66,0.56
28.3,589.67,-0.18
27.97,589.68,-0.95
28.09,589.69,0.34
28.12,589.7,0.09
28.28,589.71,0.44
28.45,589.72,0.5
28.78,589.73,0.92
28.66,589.74,-0.32
28.31,589.75,-1.0
27.58,589.76,-2.08
27.1,589.77,-1.35
26.3,589.78,-2.26
26.67,589.79,1.04
27.21,589.8,1.55
28.06,589.81,2.39
28.38,589.82,0.91
28.42,589.83,0.1
27.67,589.84,-2.11
27.44,589.85,-0.65
28.0,589.86,1.58
28.26,589.87,0.75
27.68,589.88,-1.65
27.2,589.89,-1.38
27.37,589.9,0.48
28.27,589.91,2.57
28.4,589.92,0.37
28.46,589.93,0.17
28.2,589.94,-0.74
27.68,589.95,-1.46
27.54,589.96,-0.42
27.65,589.97,0.31
27.83,589.98,0.51
27.71,589.99,-0.34
27.64,590.0,-0.18
27.6,590.01,-0.11
27.44,590.02,-0.45
27.64,590.03,0.58
27.69,590.04,0.14
27.75,590.05,0.16
