Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
33.4,507.0,-1.2
33.67,507.01,0.78
33.17,507.02,-1.43
33.17,507.03,0.01
32.81,507.04,-1.01
33.06,507.05,0.69
33.06,507.06,0.01
33.5,507.07,1.24
33.68,507.08,0.52
33.86,507.09,0.51
34.1,507.1,0.67
34.15,507.11,0.15
34.2,507.12,0.14
33.59,507.13,-1.73
33.85,507.14,0.74
34.0,507.15,0.44
34.46,507.16,1.29
33.86,507.17,-1.69
33.52,507.18,-0.98
33.66,507.19,0.41
33.83,507.2,0.46
34.03,507.21,0.58
34.34,507.22,0.86
34.55,507.23,0.61
33.88,507.24,-1.89
33.76,507.25,-0.36
34.22,507.26,1.31
34.19,507.27,-0.09
34.19,507.28,0.01
34.25,507.29,0.19
33.93,507.3,-0.92
33.68,507.31,-0.71
33.82,507.32,0.4
34.18,507.33,1.01
34.1,507.34,-0.22
33.89,507.35,-0.59
33.59,507.36,-0.85
33.66,507.37,0.19
33.32,507.38,-0.96
32.91,507.39,-1.16
33.21,507.4,0.84
33.24,507.41,0.08
33.5,507.42,0.76
33.31,507.43,-0.54
33.33,507.44,0.04
33.35,507.45,0.07
33.04,507.46,-0.87
33.15,507.47,0.31
33.45,507.48,0.84
33.51,507.49,0.17
32.97,507.5,-1.53
33.02,507.51,0.14
33.33,507.52,0.87
33.62,507.53,0.83
33.44,507.54,-0.5
33.83,507.55,1.1
33.88,507.56,0.15
34.49,507.57,1.72
34.36,507.58,-0.38
34.5,507.59,0.4
34.66,507.6,0.48
34.32,507.61,-0.97
34.17,507.62,-0.42
33.57,507.63,-1.7
33.13,507.64,-1.25
33.06,507.65,-0.19
33.33,507.66,0.75
33.4,507.67,0.2
33.22,507.68,-0.5
33.33,507.69,0.31
33.26,507.7,-0.2
33.81,507.71,1.56
33.7,507.72,-0.31
33.66,507.73,-0.13
33.78,507.74,0.34
33.97,507.75,0.55
33.87,507.76,-0.29
33.6,507.77,-0.76
33.88,507.78,0.81
34.4,507.79,1.45
34.12,507.8,-0.79
33.58,507.81,-1.52
33.78,507.82,0.57
33.75,507.83,-0.11
33.42,507.84,-0.91
33.4,507.85,-0.06
33.67,507.86,0.76
33.72,507.87,0.15
33.61,507.88,-0.31
33.97,507.89,1.0
33.93,507.9,-0.11
34.74,507.91,2.32
34.77,507.92,0.08
34.43,507.93,-0.97
34.3,507.94,-0.37
33.92,507.95,-1.07
33.44,507.96,-1.35
33.46,507.97,0.03
33.39,507.98,-0.2
33.2,507.99,-0.52
