Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
35.67,315.75,-1.8
34.98,315.76,-1.96
34.11,315.77,-2.45
32.27,315.78,-5.21
32.06,315.79,-0.59
32.82,315.8,2.15
34.21,315.81,3.92
34.58,315.82,1.05
35.07,315.83,1.4
37.04,315.84,5.57
37.24,315.85,0.56
36.6,315.86,-1.8
34.94,315.87,-4.7
34.19,315.88,-2.12
34.17,315.89,-0.07
35.94,315.9,5.01
36.92,315.91,2.78
36.73,315.92,-0.55
35.59,315.93,-3.23
33.99,315.94,-4.53
34.88,315.95,2.52
35.92,315.96,2.95
34.62,315.97,-3.67
34.71,315.98,0.24
34.2,315.99,-1.44
35.34,316.0,3.23
35.88,316.01,1.52
35.71,316.02,-0.47
34.07,316.03,-4.66
33.07,316.04,-2.83
33.12,316.05,0.16
36.02,316.06,8.22
36.75,316.07,2.06
36.6,316.08,-0.44
34.86,316.09,-4.92
35.09,316.1,0.66
36.75,316.11,4.7
37.99,316.12,3.51
36.95,316.13,-2.97
35.45,316.14,-4.24
35.85,316.15,1.15
35.52,316.16,-0.95
34.52,316.17,-2.82
34.54,316.18,0.06
33.55,316.19,-2.82
31.82,316.2,-4.91
32.79,316.21,2.75
34.74,316.22,5.54
35.55,316.23,2.27
36.45,316.24,2.57
35.76,316.25,-1.96
34.17,316.26,-4.52
34.49,316.27,0.91
35.8,316.28,3.71
36.19,316.29,1.1
36.92,316.3,2.07
37.62,316.31,1.99
37.93,316.32,0.88
36.35,316.33,-4.48
36.16,316.34,-0.54
36.55,316.35,1.1
37.2,316.36,1.83
36.17,316.37,-2.9
35.0,316.38,-3.33
33.51,316.39,-4.2
34.21,316.4,1.98
35.78,316.41,4.44
35.58,316.42,-0.56
35.19,316.43,-1.12
34.9,316.44,-0.8
35.82,316.45,2.61
37.11,316.46,3.65
36.59,316.47,-1.48
36.37,316.48,-0.64
37.88,316.49,4.28
38.02,316.5,0.4
37.12,316.51,-2.55
36.19,316.52,-2.64
34.9,316.53,-3.65
34.08,316.54,-2.31
33.41,316.55,-1.89
32.52,316.56,-2.53
32.87,316.57,0.98
33.62,316.58,2.13
34.85,316.59,3.48
35.11,316.6,0.75
35.6,316.61,1.38
36.33,316.62,2.06
37.8,316.63,4.18
38.3,316.64,1.41
36.89,316.65,-3.99
37.52,316.66,1.79
37.76,316.67,0.67
37.72,316.68,-0.13
37.79,316.69,0.2
36.08,316.7,-4.83
35.64,316.71,-1.27
35.67,316.72,0.1
34.43,316.73,-3.51
33.54,316.74,-2.52
33.97,316.75,1.21
35.77,316.76,5.09
35.45,316.77,-0.91
34.09,316.78,-3.85
35.19,316.79,3.12
35.67,316.8,1.36
35.46,316.81,-0.6
34.88,316.82,-1.64
35.12,316.83,0.69
36.79,316.84,4.72
36.65,316.85,-0.4
37.12,316.86,1.34
37.79,316.87,1.9
38.01,316.88,0.62
35.92,316.89,-5.91
36.41,316.9,1.38
35.94,316.91,-1.34
35.97,316.92,0.09
34.61,316.93,-3.86
33.49,316.94,-3.17
34.87,316.95,3.9
35.53,316.96,1.88
34.79,316.97,-2.1
35.93,316.98,3.24
37.5,316.99,4.44
37.02,317.0,-1.34
36.81,317.01,-0.61
36.84,317.02,0.09
37.08,317.03,0.68
36.56,317.04,-1.47
36.01,317.05,-1.56
36.89,317.06,2.49
37.25,317.07,1.01
37.54,317.08,0.81
35.92,317.09,-4.57
