Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
43.16,634.67,0.07
43.16,634.68,0.01
43.29,634.69,0.37
43.41,634.7,0.33
43.49,634.71,0.21
43.49,634.72,0.0
43.46,634.73,-0.07
43.28,634.74,-0.52
43.69,634.75,1.15
43.63,634.76,-0.16
43.53,634.77,-0.3
43.63,634.78,0.29
43.54,634.79,-0.24
43.59,634.8,0.12
43.16,634.81,-1.2
43.17,634.82,0.01
43.21,634.83,0.14
42.94,634.84,-0.79
43.1,634.85,0.47
42.96,634.86,-0.41
43.05,634.87,0.25
42.78,634.88,-0.78
42.97,634.89,0.55
43.09,634.9,0.33
42.85,634.91,-0.69
42.87,634.92,0.06
42.8,634.93,-0.19
42.57,634.94,-0.63
42.4,634.95,-0.5
42.44,634.96,0.11
42.5,634.97,0.2
42.72,634.98,0.61
42.87,634.99,0.41
42.97,635.0,0.28
43.1,635.01,0.37
43.23,635.02,0.38
42.86,635.03,-1.05
42.87,635.04,0.04
42.3,635.05,-1.62
42.1,635.06,-0.57
42.39,635.07,0.81
42.54,635.08,0.44
42.34,635.09,-0.59
41.92,635.1,-1.19
42.17,635.11,0.71
42.34,635.12,0.48
42.35,635.13,0.04
42.37,635.14,0.06
42.3,635.15,-0.2
42.52,635.16,0.62
42.28,635.17,-0.67
41.99,635.18,-0.83
41.99,635.19,0.0
42.05,635.2,0.16
42.01,635.21,-0.1
42.03,635.22,0.05
41.85,635.23,-0.49
41.84,635.24,-0.04
41.73,635.25,-0.3
