Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
15.34,403.33,1.4
15.9,403.34,1.6
16.49,403.35,1.66
17.05,403.36,1.59
18.05,403.37,2.83
18.49,403.38,1.25
18.39,403.39,-0.27
18.45,403.4,0.16
18.69,403.41,0.69
19.07,403.42,1.08
18.87,403.43,-0.58
18.94,403.44,0.21
18.64,403.45,-0.84
18.11,403.46,-1.53
17.83,403.47,-0.78
17.86,403.48,0.08
16.96,403.49,-2.55
16.11,403.5,-2.4
15.89,403.51,-0.63
16.06,403.52,0.49
15.98,403.53,-0.24
15.96,403.54,-0.04
16.38,403.55,1.2
16.42,403.56,0.11
16.08,403.57,-0.98
16.21,403.58,0.38
16.51,403.59,0.84
16.61,403.6,0.28
15.9,403.61,-2.0
15.09,403.62,-2.29
14.75,403.63,-0.97
15.07,403.64,0.92
15.94,403.65,2.45
16.67,403.66,2.08
17.3,403.67,1.77
17.6,403.68,0.86
17.97,403.69,1.04
18.15,403.7,0.5
18.06,403.71,-0.24
17.8,403.72,-0.74
17.59,403.73,-0.6
17.42,403.74,-0.47
18.05,403.75,1.8
18.51,403.76,1.3
19.62,403.77,3.14
19.82,403.78,0.57
20.26,403.79,1.24
20.63,403.8,1.06
20.7,403.81,0.18
20.22,403.82,-1.34
19.59,403.83,-1.8
19.26,403.84,-0.93
18.62,403.85,-1.81
18.02,403.86,-1.71
17.63,403.87,-1.1
17.43,403.88,-0.57
17.28,403.89,-0.42
17.39,403.9,0.31
17.46,403.91,0.2
17.85,403.92,1.09
17.79,403.93,-0.16
17.87,403.94,0.23
18.01,403.95,0.41
17.63,403.96,-1.1
17.42,403.97,-0.58
17.51,403.98,0.24
17.38,403.99,-0.38
17.25,404.0,-0.35
18.14,404.01,2.52
18.05,404.02,-0.26
17.7,404.03,-1.0
17.3,404.04,-1.12
16.68,404.05,-1.77
16.12,404.06,-1.6
15.94,404.07,-0.5
15.82,404.08,-0.33
15.99,404.09,0.48
16.28,404.1,0.81
16.49,404.11,0.59
16.81,404.12,0.92
17.22,404.13,1.14
17.73,404.14,1.45
18.29,404.15,1.58
18.44,404.16,0.44
18.16,404.17,-0.8
18.49,404.18,0.94
19.18,404.19,1.96
19.6,404.2,1.18
20.1,404.21,1.42
20.0,404.22,-0.28
18.65,404.23,-3.84
18.16,404.24,-1.38
17.84,404.25,-0.89
17.77,404.26,-0.21
18.01,404.27,0.67
17.93,404.28,-0.23
18.09,404.29,0.48
18.06,404.3,-0.08
17.91,404.31,-0.45
17.9,404.32,-0.02
