Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
34.35,706.0,1.23
34.29,706.01,-0.17
34.18,706.02,-0.29
34.15,706.03,-0.1
33.91,706.04,-0.67
33.88,706.05,-0.08
33.93,706.06,0.14
33.74,706.07,-0.55
33.79,706.08,0.16
33.87,706.09,0.23
34.09,706.1,0.6
33.92,706.11,-0.48
33.87,706.12,-0.12
33.77,706.13,-0.28
33.52,706.14,-0.7
33.69,706.15,0.47
33.85,706.16,0.46
34.12,706.17,0.75
34.1,706.18,-0.05
33.94,706.19,-0.45
33.92,706.2,-0.06
33.74,706.21,-0.52
33.53,706.22,-0.59
33.49,706.23,-0.11
33.5,706.24,0.04
33.61,706.25,0.31
33.81,706.26,0.56
33.79,706.27,-0.06
33.74,706.28,-0.14
33.95,706.29,0.58
33.88,706.3,-0.19
34.14,706.31,0.73
34.03,706.32,-0.31
33.94,706.33,-0.24
33.81,706.34,-0.39
33.64,706.35,-0.47
33.67,706.36,0.08
33.71,706.37,0.12
33.77,706.38,0.17
34.15,706.39,1.08
33.98,706.4,-0.48
33.72,706.41,-0.74
33.71,706.42,-0.02
33.68,706.43,-0.09
33.56,706.44,-0.34
33.45,706.45,-0.32
33.58,706.46,0.37
33.71,706.47,0.38
34.07,706.48,1.01
33.92,706.49,-0.42
33.81,706.5,-0.29
33.97,706.51,0.44
34.19,706.52,0.61
34.13,706.53,-0.16
34.08,706.54,-0.14
34.07,706.55,-0.04
33.99,706.56,-0.21
34.07,706.57,0.23
33.95,706.58,-0.35
33.68,706.59,-0.76
33.44,706.6,-0.67
33.6,706.61,0.44
33.56,706.62,-0.12
33.82,706.63,0.75
33.83,706.64,0.02
33.9,706.65,0.2
33.61,706.66,-0.82
33.54,706.67,-0.21
33.04,706.68,-1.4
32.88,706.69,-0.45
32.8,706.7,-0.24
32.92,706.71,0.33
32.81,706.72,-0.31
32.74,706.73,-0.18
32.81,706.74,0.19
33.03,706.75,0.63
33.3,706.76,0.76
33.46,706.77,0.46
33.75,706.78,0.83
34.27,706.79,1.45
34.1,706.8,-0.48
33.99,706.81,-0.31
34.11,706.82,0.34
33.91,706.83,-0.56
33.86,706.84,-0.15
33.81,706.85,-0.13
33.96,706.86,0.42
34.07,706.87,0.3
34.0,706.88,-0.2
33.84,706.89,-0.44
33.7,706.9,-0.41
33.42,706.91,-0.78
33.56,706.92,0.38
33.73,706.93,0.48
33.77,706.94,0.13
33.78,706.95,0.01
33.68,706.96,-0.29
33.28,706.97,-1.11
33.19,706.98,-0.27
33.2,706.99,0.04
