Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
37.29,751.0,0.73
37.37,751.01,0.22
37.39,751.02,0.04
37.35,751.03,-0.09
37.24,751.04,-0.33
36.79,751.05,-1.25
36.67,751.06,-0.35
36.94,751.07,0.75
36.79,751.08,-0.42
37.08,751.09,0.84
36.87,751.1,-0.6
36.68,751.11,-0.54
36.48,751.12,-0.56
36.51,751.13,0.09
36.71,751.14,0.57
37.06,751.15,0.99
37.16,751.16,0.28
37.36,751.17,0.57
37.45,751.18,0.25
37.8,751.19,0.98
37.06,751.2,-2.09
37.0,751.21,-0.18
36.91,751.22,-0.24
37.04,751.23,0.37
37.11,751.24,0.19
37.48,751.25,1.04
37.56,751.26,0.24
37.36,751.27,-0.58
37.29,751.28,-0.2
36.92,751.29,-1.05
37.05,751.3,0.37
36.95,751.31,-0.26
36.97,751.32,0.04
37.07,751.33,0.28
37.18,751.34,0.31
37.22,751.35,0.12
37.45,751.36,0.65
37.74,751.37,0.82
38.17,751.38,1.23
37.84,751.39,-0.93
37.72,751.4,-0.35
37.48,751.41,-0.67
37.47,751.42,-0.04
37.58,751.43,0.31
37.18,751.44,-1.11
37.26,751.45,0.22
37.05,751.46,-0.59
37.0,751.47,-0.15
36.76,751.48,-0.67
36.61,751.49,-0.44
36.71,751.5,0.28
36.81,751.51,0.28
37.23,751.52,1.19
37.69,751.53,1.3
37.6,751.54,-0.24
37.67,751.55,0.2
37.77,751.56,0.27
38.02,751.57,0.72
38.35,751.58,0.93
38.0,751.59,-1.0
37.62,751.6,-1.07
37.75,751.61,0.37
37.84,751.62,0.25
37.72,751.63,-0.34
37.47,751.64,-0.71
37.44,751.65,-0.09
37.73,751.66,0.83
37.83,751.67,0.28
37.66,751.68,-0.48
37.61,751.69,-0.13
37.47,751.7,-0.41
37.7,751.71,0.67
37.58,751.72,-0.35
37.51,751.73,-0.2
37.16,751.74,-0.99
37.25,751.75,0.24
37.49,751.76,0.69
37.45,751.77,-0.1
37.53,751.78,0.22
37.47,751.79,-0.18
37.24,751.8,-0.65
36.96,751.81,-0.79
37.15,751.82,0.56
37.81,751.83,1.86
37.61,751.84,-0.57
37.22,751.85,-1.1
37.24,751.86,0.05
36.97,751.87,-0.76
37.04,751.88,0.18
37.26,751.89,0.64
37.56,751.9,0.83
37.74,751.91,0.53
37.93,751.92,0.52
37.95,751.93,0.07
37.74,751.94,-0.59
37.8,751.95,0.16
38.22,751.96,1.19
37.89,751.97,-0.93
37.78,751.98,-0.33
37.96,751.99,0.51
