Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
40.01,247.21,-0.37
40.07,247.22,0.15
40.57,247.23,1.42
40.8,247.24,0.66
41.34,247.25,1.53
41.46,247.26,0.33
41.52,247.27,0.19
41.57,247.28,0.14
41.4,247.29,-0.48
41.01,247.3,-1.12
40.59,247.31,-1.2
39.95,247.32,-1.8
39.95,247.33,-0.01
40.46,247.34,1.46
40.94,247.35,1.34
40.7,247.36,-0.67
40.45,247.37,-0.72
39.7,247.38,-2.13
39.07,247.39,-1.76
39.36,247.4,0.81
39.64,247.41,0.78
39.49,247.42,-0.41
39.42,247.43,-0.2
39.74,247.44,0.91
39.38,247.45,-1.02
39.32,247.46,-0.17
39.73,247.47,1.16
39.95,247.48,0.63
40.24,247.49,0.8
40.56,247.5,0.92
40.74,247.51,0.51
40.74,247.52,0.0
40.95,247.53,0.58
40.95,247.54,0.03
40.31,247.55,-1.83
40.66,247.56,1.0
40.75,247.57,0.25
40.65,247.58,-0.28
40.38,247.59,-0.76
40.12,247.6,-0.74
40.02,247.61,-0.29
40.45,247.62,1.23
40.95,247.63,1.4
40.95,247.64,0.02
40.32,247.65,-1.8
40.36,247.66,0.12
40.5,247.67,0.38
40.64,247.68,0.39
40.7,247.69,0.18
41.0,247.7,0.84
41.29,247.71,0.84
40.6,247.72,-1.97
40.46,247.73,-0.38
40.13,247.74,-0.93
40.27,247.75,0.39
40.18,247.76,-0.24
40.36,247.77,0.51
39.98,247.78,-1.09
40.37,247.79,1.12
40.11,247.8,-0.74
40.42,247.81,0.87
41.04,247.82,1.75
41.68,247.83,1.82
40.67,247.84,-2.85
40.53,247.85,-0.4
40.53,247.86,0.0
40.34,247.87,-0.55
39.81,247.88,-1.51
40.06,247.89,0.72
40.6,247.9,1.52
40.35,247.91,-0.69
40.44,247.92,0.25
40.44,247.93,-0.02
40.51,247.94,0.21
40.8,247.95,0.82
41.01,247.96,0.6
41.44,247.97,1.21
41.58,247.98,0.4
41.66,247.99,0.22
41.08,248.0,-1.65
40.24,248.01,-2.37
40.16,248.02,-0.24
41.07,248.03,2.58
41.05,248.04,-0.04
41.21,248.05,0.44
41.79,248.06,1.63
42.11,248.07,0.93
41.53,248.08,-1.64
41.29,248.09,-0.68
40.69,248.1,-1.72
40.44,248.11,-0.7
39.67,248.12,-2.18
40.35,248.13,1.94
40.72,248.14,1.05
41.28,248.15,1.59
41.52,248.16,0.66
41.68,248.17,0.46
41.76,248.18,0.22
41.65,248.19,-0.31
41.63,248.2,-0.06
41.31,248.21,-0.9
41.1,248.22,-0.6
40.88,248.23,-0.62
41.25,248.24,1.05
42.16,248.25,2.57
41.47,248.26,-1.93
40.82,248.27,-1.85
40.39,248.28,-1.23
39.72,248.29,-1.89
39.27,248.3,-1.27
39.19,248.31,-0.23
39.04,248.32,-0.42
39.32,248.33,0.77
39.77,248.34,1.29
40.45,248.35,1.93
40.85,248.36,1.13
40.99,248.37,0.41
40.15,248.38,-2.39
40.74,248.39,1.67
41.04,248.4,0.84
41.24,248.41,0.57
41.5,248.42,0.76
42.41,248.43,2.58
42.06,248.44,-1.01
42.34,248.45,0.79
42.08,248.46,-0.73
41.51,248.47,-1.62
41.99,248.48,1.36
42.07,248.49,0.24
41.96,248.5,-0.33
42.11,248.51,0.44
42.64,248.52,1.5
43.03,248.53,1.09
42.99,248.54,-0.09
43.02,248.55,0.07
42.28,248.56,-2.1
41.99,248.57,-0.81
42.0,248.58,0.03
42.23,248.59,0.67
42.28,248.6,0.12
42.34,248.61,0.19
42.5,248.62,0.45
42.59,248.63,0.24
42.79,248.64,0.59
41.86,248.65,-2.64
40.53,248.66,-3.76
39.18,248.67,-3.83
38.89,248.68,-0.84
39.24,248.69,0.99
38.97,248.7,-0.76
39.12,248.71,0.42
39.96,248.72,2.4
40.61,248.73,1.82
40.8,248.74,0.55
41.46,248.75,1.86
41.52,248.76,0.18
41.05,248.77,-1.34
40.01,248.78,-2.94
39.74,248.79,-0.77
39.68,248.8,-0.18
40.23,248.81,1.56
41.17,248.82,2.67
41.32,248.83,0.43
41.0,248.84,-0.92
40.74,248.85,-0.72
41.11,248.86,1.04
40.8,248.87,-0.88
40.23,248.88,-1.61
40.5,248.89,0.74
41.12,248.9,1.78
41.56,248.91,1.23
42.65,248.92,3.08
43.11,248.93,1.32
42.66,248.94,-1.28
42.41,248.95,-0.71
42.48,248.96,0.2
