Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
26.68,283.11,1.01
26.67,283.12,-0.03
26.57,283.13,-0.27
26.28,283.14,-0.83
25.88,283.15,-1.13
25.85,283.16,-0.07
26.36,283.17,1.43
26.62,283.18,0.74
26.92,283.19,0.84
27.35,283.2,1.23
26.66,283.21,-1.96
26.14,283.22,-1.48
26.45,283.23,0.9
26.36,283.24,-0.26
26.49,283.25,0.37
27.18,283.26,1.95
27.37,283.27,0.55
27.31,283.28,-0.17
27.58,283.29,0.76
27.17,283.3,-1.15
26.19,283.31,-2.79
25.99,283.32,-0.57
26.01,283.33,0.05
25.68,283.34,-0.92
25.5,283.35,-0.51
25.91,283.36,1.16
26.41,283.37,1.4
26.33,283.38,-0.21
26.09,283.39,-0.67
26.29,283.4,0.55
25.8,283.41,-1.38
25.76,283.42,-0.13
25.94,283.43,0.53
26.15,283.44,0.59
26.48,283.45,0.92
27.14,283.46,1.86
26.94,283.47,-0.55
26.82,283.48,-0.36
26.6,283.49,-0.61
26.49,283.5,-0.3
26.32,283.51,-0.5
26.36,283.52,0.13
26.31,283.53,-0.14
26.21,283.54,-0.28
26.23,283.55,0.07
26.55,283.56,0.9
26.47,283.57,-0.22
26.45,283.58,-0.07
27.01,283.59,1.57
27.24,283.6,0.67
27.38,283.61,0.4
27.17,283.62,-0.61
26.74,283.63,-1.21
26.19,283.64,-1.57
26.35,283.65,0.47
26.26,283.66,-0.25
26.18,283.67,-0.24
26.11,283.68,-0.18
25.74,283.69,-1.06
25.91,283.7,0.47
25.6,283.71,-0.87
25.68,283.72,0.24
25.79,283.73,0.31
25.66,283.74,-0.37
25.95,283.75,0.81
26.48,283.76,1.52
26.41,283.77,-0.2
26.18,283.78,-0.66
26.45,283.79,0.76
26.38,283.8,-0.18
26.51,283.81,0.37
26.75,283.82,0.65
26.49,283.83,-0.71
26.13,283.84,-1.03
26.26,283.85,0.36
26.35,283.86,0.25
26.27,283.87,-0.21
26.26,283.88,-0.05
26.55,283.89,0.84
26.59,283.9,0.12
26.43,283.91,-0.45
26.28,283.92,-0.45
26.34,283.93,0.17
26.45,283.94,0.33
26.45,283.95,-0.02
26.59,283.96,0.42
26.21,283.97,-1.08
25.81,283.98,-1.16
25.91,283.99,0.3
25.95,284.0,0.1
26.26,284.01,0.89
25.98,284.02,-0.8
25.7,284.03,-0.78
25.71,284.04,0.02
25.79,284.05,0.23
25.94,284.06,0.42
26.09,284.07,0.42
26.31,284.08,0.61
26.35,284.09,0.12
26.59,284.1,0.67
26.56,284.11,-0.07
26.8,284.12,0.67
26.4,284.13,-1.13
26.8,284.14,1.14
27.04,284.15,0.66
26.68,284.16,-1.01
26.68,284.17,0.01
27.07,284.18,1.11
26.42,284.19,-1.84
25.79,284.2,-1.79
25.16,284.21,-1.79
25.2,284.22,0.13
25.0,284.23,-0.57
25.14,284.24,0.38
25.42,284.25,0.8
25.82,284.26,1.12
25.73,284.27,-0.24
27.42,284.28,4.77
29.68,284.29,6.4
30.26,284.3,1.65
29.44,284.31,-2.32
28.32,284.32,-3.17
27.26,284.33,-2.99
27.12,284.34,-0.42
27.01,284.35,-0.29
27.13,284.36,0.32
27.34,284.37,0.59
27.32,284.38,-0.05
26.92,284.39,-1.14
26.46,284.4,-1.28
26.11,284.41,-0.99
25.89,284.42,-0.64
25.7,284.43,-0.52
25.76,284.44,0.15
25.75,284.45,-0.02
25.54,284.46,-0.6
25.53,284.47,-0.02
25.36,284.48,-0.49
25.0,284.49,-1.02
25.14,284.5,0.41
25.35,284.51,0.58
25.92,284.52,1.62
26.38,284.53,1.3
26.73,284.54,1.0
27.62,284.55,2.51
27.69,284.56,0.2
27.63,284.57,-0.16
27.03,284.58,-1.71
26.7,284.59,-0.93
26.3,284.6,-1.12
26.25,284.61,-0.16
27.03,284.62,2.21
26.92,284.63,-0.32
26.54,284.64,-1.08
26.16,284.65,-1.06
26.37,284.66,0.6
26.46,284.67,0.26
26.18,284.68,-0.81
26.16,284.69,-0.06
26.1,284.7,-0.17
26.21,284.71,0.33
26.33,284.72,0.31
26.16,284.73,-0.46
26.19,284.74,0.09
26.13,284.75,-0.19
26.54,284.76,1.16
26.44,284.77,-0.26
26.54,284.78,0.27
26.4,284.79,-0.41
25.72,284.8,-1.93
25.48,284.81,-0.67
25.39,284.82,-0.26
25.18,284.83,-0.58
25.24,284.84,0.17
25.54,284.85,0.84
26.43,284.86,2.52
27.11,284.87,1.93
27.71,284.88,1.7
27.7,284.89,-0.03
27.44,284.9,-0.75
26.56,284.91,-2.5
26.2,284.92,-1.0
26.72,284.93,1.46
27.59,284.94,2.47
28.41,284.95,2.31
27.78,284.96,-1.76
26.89,284.97,-2.54
26.36,284.98,-1.48
25.82,284.99,-1.54
25.35,285.0,-1.33
25.97,285.01,1.75
25.91,285.02,-0.17
26.46,285.03,1.56
26.55,285.04,0.23
25.93,285.05,-1.74
25.69,285.06,-0.69
25.2,285.07,-1.39
25.29,285.08,0.27
26.17,285.09,2.5
27.62,285.1,4.09
28.68,285.11,3.01
28.2,285.12,-1.36
27.34,285.13,-2.44
26.49,285.14,-2.39
26.86,285.15,1.04
26.88,285.16,0.05
27.03,285.17,0.42
27.54,285.18,1.46
29.98,285.19,6.92
28.78,285.2,-3.41
27.08,285.21,-4.83
26.35,285.22,-2.05
25.83,285.23,-1.49
25.65,285.24,-0.49
25.29,285.25,-1.04
25.19,285.26,-0.27
25.16,285.27,-0.09
24.87,285.28,-0.83
24.95,285.29,0.24
25.74,285.3,2.22
26.68,285.31,2.67
26.98,285.32,0.85
27.3,285.33,0.92
27.32,285.34,0.05
27.48,285.35,0.45
27.53,285.36,0.14
27.31,285.37,-0.62
27.19,285.38,-0.34
26.93,285.39,-0.73
26.56,285.4,-1.07
26.95,285.41,1.12
27.15,285.42,0.55
27.08,285.43,-0.19
27.08,285.44,0.01
27.14,285.45,0.17
26.81,285.46,-0.95
26.83,285.47,0.05
27.06,285.48,0.66
27.35,285.49,0.83
27.25,285.5,-0.3
26.7,285.51,-1.55
26.94,285.52,0.66
27.2,285.53,0.74
27.08,285.54,-0.32
27.19,285.55,0.31
27.01,285.56,-0.53
26.42,285.57,-1.67
25.86,285.58,-1.59
25.8,285.59,-0.16
26.17,285.6,1.06
26.33,285.61,0.45
25.88,285.62,-1.27
25.44,285.63,-1.27
26.34,285.64,2.55
26.82,285.65,1.37
26.44,285.66,-1.08
26.44,285.67,0.0
27.32,285.68,2.49
27.45,285.69,0.38
27.82,285.7,1.04
28.33,285.71,1.45
28.18,285.72,-0.43
27.71,285.73,-1.33
26.9,285.74,-2.28
26.24,285.75,-1.87
25.76,285.76,-1.35
25.75,285.77,-0.04
25.72,285.78,-0.08
25.76,285.79,0.1
26.44,285.8,1.95
27.1,285.81,1.87
27.39,285.82,0.81
27.49,285.83,0.29
27.23,285.84,-0.76
27.08,285.85,-0.42
27.43,285.86,0.99
27.63,285.87,0.56
27.05,285.88,-1.63
26.37,285.89,-1.92
25.83,285.9,-1.52
25.91,285.91,0.2
25.99,285.92,0.24
25.88,285.93,-0.31
25.74,285.94,-0.4
26.15,285.95,1.15
26.81,285.96,1.87
27.11,285.97,0.85
27.27,285.98,0.46
27.08,285.99,-0.54
27.02,286.0,-0.16
26.76,286.01,-0.75
26.79,286.02,0.08
27.1,286.03,0.9
27.34,286.04,0.67
28.34,286.05,2.85
28.7,286.06,1.01
28.24,286.07,-1.31
27.27,286.08,-2.75
26.09,286.09,-3.32
24.49,286.1,-4.54
24.54,286.11,0.13
24.56,286.12,0.06
24.9,286.13,0.97
26.0,286.14,3.1
26.39,286.15,1.11
27.27,286.16,2.49
28.34,286.17,3.04
29.42,286.18,3.04
29.85,286.19,1.23
30.0,286.2,0.43
30.37,286.21,1.05
30.18,286.22,-0.54
29.9,286.23,-0.81
29.06,286.24,-2.38
28.21,286.25,-2.39
27.87,286.26,-0.96
27.36,286.27,-1.45
27.03,286.28,-0.93
27.21,286.29,0.52
27.52,286.3,0.86
27.21,286.31,-0.86
27.42,286.32,0.59
27.18,286.33,-0.7
26.88,286.34,-0.83
26.56,286.35,-0.93
25.78,286.36,-2.19
25.6,286.37,-0.52
25.22,286.38,-1.07
24.68,286.39,-1.54
23.25,286.4,-4.04
22.27,286.41,-2.78
23.81,286.42,4.37
25.01,286.43,3.4
26.41,286.44,3.95
27.99,286.45,4.5
28.69,286.46,1.98
29.2,286.47,1.44
29.01,286.48,-0.54
28.31,286.49,-1.98
27.81,286.5,-1.42
27.8,286.51,-0.03
27.91,286.52,0.31
27.74,286.53,-0.48
28.71,286.54,2.72
27.8,286.55,-2.57
27.32,286.56,-1.35
26.85,286.57,-1.35
27.22,286.58,1.07
27.33,286.59,0.3
27.35,286.6,0.05
27.5,286.61,0.44
27.77,286.62,0.76
27.56,286.63,-0.58
27.71,286.64,0.41
27.5,286.65,-0.58
27.22,286.66,-0.82
27.4,286.67,0.52
28.65,286.68,3.53
28.61,286.69,-0.1
28.54,286.7,-0.22
28.35,286.71,-0.54
27.87,286.72,-1.35
27.37,286.73,-1.41
27.23,286.74,-0.4
26.85,286.75,-1.07
26.3,286.76,-1.57
25.97,286.77,-0.92
25.14,286.78,-2.37
25.09,286.79,-0.12
25.61,286.8,1.45
26.0,286.81,1.1
26.17,286.82,0.5
26.27,286.83,0.28
26.1,286.84,-0.48
26.8,286.85,1.96
27.15,286.86,1.0
27.11,286.87,-0.11
27.3,286.88,0.54
26.98,286.89,-0.91
26.8,286.9,-0.5
26.86,286.91,0.17
27.19,286.92,0.93
27.41,286.93,0.62
27.35,286.94,-0.17
27.29,286.95,-0.16
27.21,286.96,-0.22
27.07,286.97,-0.4
27.36,286.98,0.81
27.57,286.99,0.62
27.52,287.0,-0.14
27.4,287.01,-0.35
27.16,287.02,-0.69
26.95,287.03,-0.58
26.87,287.04,-0.24
26.61,287.05,-0.73
26.59,287.06,-0.06
26.43,287.07,-0.44
26.54,287.08,0.29
26.98,287.09,1.26
27.41,287.1,1.21
27.55,287.11,0.41
27.76,287.12,0.59
27.88,287.13,0.35
27.94,287.14,0.16
27.98,287.15,0.13
27.73,287.16,-0.73
27.48,287.17,-0.7
26.9,287.18,-1.63
26.91,287.19,0.01
26.96,287.2,0.16
26.9,287.21,-0.17
26.95,287.22,0.14
27.0,287.23,0.14
26.99,287.24,-0.05
26.97,287.25,-0.03
26.88,287.26,-0.28
26.82,287.27,-0.16
26.96,287.28,0.39
26.68,287.29,-0.78
26.56,287.3,-0.35
26.55,287.31,-0.02
26.44,287.32,-0.32
26.14,287.33,-0.84
26.21,287.34,0.17
26.53,287.35,0.91
26.71,287.36,0.51
26.89,287.37,0.51
26.91,287.38,0.08
26.67,287.39,-0.68
26.45,287.4,-0.64
26.12,287.41,-0.93
26.08,287.42,-0.12
26.25,287.43,0.51
26.25,287.44,-0.01
26.15,287.45,-0.27
26.14,287.46,-0.03
26.31,287.47,0.48
26.47,287.48,0.44
26.42,287.49,-0.12
26.51,287.5,0.24
26.07,287.51,-1.25
26.37,287.52,0.86
26.4,287.53,0.08
26.4,287.54,0.01
26.41,287.55,0.02
26.36,287.56,-0.13
26.15,287.57,-0.59
26.16,287.58,0.01
26.13,287.59,-0.07
26.52,287.6,1.09
26.72,287.61,0.58
26.52,287.62,-0.58
26.35,287.63,-0.47
26.21,287.64,-0.4
26.19,287.65,-0.06
26.5,287.66,0.88
26.68,287.67,0.51
26.93,287.68,0.72
26.74,287.69,-0.55
26.37,287.7,-1.03
25.98,287.71,-1.09
25.83,287.72,-0.43
25.74,287.73,-0.25
25.29,287.74,-1.3
25.19,287.75,-0.27
24.65,287.76,-1.54
24.32,287.77,-0.93
24.52,287.78,0.56
24.78,287.79,0.75
25.19,287.8,1.14
25.13,287.81,-0.16
25.14,287.82,0.04
25.58,287.83,1.23
25.82,287.84,0.7
26.09,287.85,0.76
25.93,287.86,-0.46
25.77,287.87,-0.44
25.73,287.88,-0.13
25.55,287.89,-0.51
25.48,287.9,-0.18
25.54,287.91,0.17
25.63,287.92,0.26
25.72,287.93,0.23
25.87,287.94,0.44
25.37,287.95,-1.4
25.38,287.96,0.02
25.43,287.97,0.13
25.15,287.98,-0.79
24.71,287.99,-1.25
24.71,288.0,0.01
24.78,288.01,0.21
24.69,288.02,-0.26
24.93,288.03,0.68
25.17,288.04,0.66
25.46,288.05,0.83
25.77,288.06,0.87
25.82,288.07,0.14
25.92,288.08,0.29
25.93,288.09,0.05
26.3,288.1,1.03
26.35,288.11,0.14
26.38,288.12,0.1
26.13,288.13,-0.72
25.66,288.14,-1.32
25.32,288.15,-0.96
25.07,288.16,-0.71
24.94,288.17,-0.36
25.2,288.18,0.73
25.59,288.19,1.09
25.41,288.2,-0.51
25.58,288.21,0.48
25.34,288.22,-0.68
25.11,288.23,-0.63
25.15,288.24,0.1
25.38,288.25,0.66
25.74,288.26,1.02
26.13,288.27,1.09
26.06,288.28,-0.17
25.93,288.29,-0.37
25.45,288.3,-1.38
25.31,288.31,-0.38
25.08,288.32,-0.66
24.9,288.33,-0.52
25.11,288.34,0.59
25.41,288.35,0.86
25.4,288.36,-0.03
24.94,288.37,-1.31
24.86,288.38,-0.22
25.18,288.39,0.89
25.41,288.4,0.67
25.48,288.41,0.18
25.52,288.42,0.12
25.71,288.43,0.54
25.73,288.44,0.05
25.53,288.45,-0.55
25.18,288.46,-1.01
25.38,288.47,0.58
25.28,288.48,-0.28
25.37,288.49,0.25
25.5,288.5,0.36
25.39,288.51,-0.32
25.14,288.52,-0.69
25.12,288.53,-0.08
25.27,288.54,0.42
25.41,288.55,0.42
25.72,288.56,0.88
25.9,288.57,0.49
25.86,288.58,-0.12
26.05,288.59,0.56
25.65,288.6,-1.15
25.33,288.61,-0.89
25.44,288.62,0.3
25.65,288.63,0.61
25.89,288.64,0.67
25.81,288.65,-0.21
25.74,288.66,-0.2
25.54,288.67,-0.58
25.52,288.68,-0.07
25.56,288.69,0.14
25.48,288.7,-0.23
25.33,288.71,-0.44
25.32,288.72,-0.03
25.54,288.73,0.63
26.03,288.74,1.38
26.04,288.75,0.04
25.95,288.76,-0.26
26.17,288.77,0.63
26.26,288.78,0.24
25.91,288.79,-0.99
25.62,288.8,-0.8
25.29,288.81,-0.93
25.3,288.82,0.01
25.4,288.83,0.3
25.48,288.84,0.22
25.5,288.85,0.05
25.42,288.86,-0.24
25.15,288.87,-0.74
25.27,288.88,0.33
25.42,288.89,0.43
25.51,288.9,0.24
25.61,288.91,0.29
25.94,288.92,0.93
25.69,288.93,-0.7
25.44,288.94,-0.73
25.09,288.95,-0.98
25.12,288.96,0.08
25.06,288.97,-0.17
25.08,288.98,0.05
25.02,288.99,-0.17
25.07,289.0,0.14
25.38,289.01,0.88
25.47,289.02,0.25
25.71,289.03,0.69
26.12,289.04,1.18
26.13,289.05,0.01
26.19,289.06,0.18
26.01,289.07,-0.5
25.84,289.08,-0.48
25.62,289.09,-0.62
25.21,289.1,-1.16
25.32,289.11,0.3
25.24,289.12,-0.23
25.51,289.13,0.78
25.66,289.14,0.41
25.9,289.15,0.69
25.84,289.16,-0.17
25.73,289.17,-0.32
25.51,289.18,-0.63
25.34,289.19,-0.46
25.18,289.2,-0.47
25.33,289.21,0.44
25.4,289.22,0.2
25.13,289.23,-0.78
25.14,289.24,0.02
25.28,289.25,0.39
25.1,289.26,-0.51
25.13,289.27,0.11
25.39,289.28,0.71
25.62,289.29,0.67
25.7,289.3,0.23
25.98,289.31,0.78
25.83,289.32,-0.41
25.52,289.33,-0.88
25.48,289.34,-0.13
25.5,289.35,0.05
25.34,289.36,-0.46
25.3,289.37,-0.11
25.36,289.38,0.19
25.25,289.39,-0.33
24.97,289.4,-0.8
25.21,289.41,0.69
25.29,289.42,0.24
25.08,289.43,-0.59
25.09,289.44,0.02
25.21,289.45,0.35
25.43,289.46,0.61
25.31,289.47,-0.34
25.52,289.48,0.6
25.18,289.49,-0.97
24.86,289.5,-0.9
24.68,289.51,-0.53
25.02,289.52,0.97
25.19,289.53,0.49
25.07,289.54,-0.34
25.26,289.55,0.52
25.52,289.56,0.76
25.37,289.57,-0.44
25.41,289.58,0.11
25.39,289.59,-0.04
25.32,289.6,-0.2
25.06,289.61,-0.76
25.36,289.62,0.87
25.33,289.63,-0.1
25.27,289.64,-0.17
25.23,289.65,-0.1
25.27,289.66,0.12
24.89,289.67,-1.08
24.88,289.68,-0.03
25.23,289.69,0.99
25.08,289.7,-0.43
24.8,289.71,-0.79
24.84,289.72,0.12
24.93,289.73,0.25
25.06,289.74,0.36
25.1,289.75,0.11
25.41,289.76,0.89
25.36,289.77,-0.15
25.33,289.78,-0.07
25.74,289.79,1.15
25.76,289.8,0.07
25.61,289.81,-0.44
25.35,289.82,-0.72
25.11,289.83,-0.7
24.8,289.84,-0.87
24.37,289.85,-1.21
24.72,289.86,0.98
25.07,289.87,1.0
24.91,289.88,-0.46
25.04,289.89,0.38
25.12,289.9,0.22
24.76,289.91,-1.01
24.92,289.92,0.46
25.07,289.93,0.41
25.12,289.94,0.14
24.93,289.95,-0.52
24.9,289.96,-0.09
24.98,289.97,0.22
24.66,289.98,-0.9
24.6,289.99,-0.16
24.84,290.0,0.67
24.97,290.01,0.37
24.99,290.02,0.06
25.09,290.03,0.27
25.48,290.04,1.11
25.19,290.05,-0.82
25.33,290.06,0.39
25.31,290.07,-0.05
24.97,290.08,-0.96
24.81,290.09,-0.45
24.82,290.1,0.03
25.12,290.11,0.83
25.1,290.12,-0.06
25.0,290.13,-0.28
25.07,290.14,0.22
24.97,290.15,-0.29
24.82,290.16,-0.42
24.67,290.17,-0.45
24.63,290.18,-0.11
24.53,290.19,-0.27
24.37,290.2,-0.45
24.5,290.21,0.35
24.6,290.22,0.29
24.78,290.23,0.51
24.7,290.24,-0.22
24.65,290.25,-0.14
24.53,290.26,-0.35
24.35,290.27,-0.51
24.7,290.28,1.01
24.76,290.29,0.17
24.45,290.3,-0.89
24.44,290.31,-0.04
24.73,290.32,0.82
24.98,290.33,0.73
25.05,290.34,0.18
25.25,290.35,0.56
25.01,290.36,-0.68
24.91,290.37,-0.28
24.92,290.38,0.04
25.01,290.39,0.25
24.79,290.4,-0.63
24.66,290.41,-0.35
24.7,290.42,0.11
24.55,290.43,-0.41
24.39,290.44,-0.46
24.29,290.45,-0.3
24.39,290.46,0.31
24.25,290.47,-0.4
24.33,290.48,0.23
24.69,290.49,1.01
24.9,290.5,0.6
24.71,290.51,-0.54
24.67,290.52,-0.13
24.37,290.53,-0.85
23.91,290.54,-1.31
23.77,290.55,-0.37
24.49,290.56,2.02
24.95,290.57,1.31
25.41,290.58,1.32
25.29,290.59,-0.35
25.01,290.6,-0.78
24.59,290.61,-1.21
24.43,290.62,-0.45
24.44,290.63,0.03
24.49,290.64,0.14
24.32,290.65,-0.47
24.25,290.66,-0.19
24.71,290.67,1.29
24.82,290.68,0.31
24.52,290.69,-0.85
24.32,290.7,-0.55
24.32,290.71,0.0
24.27,290.72,-0.16
24.63,290.73,1.02
24.42,290.74,-0.59
24.44,290.75,0.06
24.52,290.76,0.22
24.55,290.77,0.08
24.38,290.78,-0.46
24.48,290.79,0.29
24.62,290.8,0.4
24.84,290.81,0.62
24.79,290.82,-0.16
24.6,290.83,-0.54
24.38,290.84,-0.6
24.08,290.85,-0.86
23.88,290.86,-0.56
23.81,290.87,-0.22
23.7,290.88,-0.3
23.92,290.89,0.62
24.34,290.9,1.19
24.81,290.91,1.33
24.81,290.92,0.0
24.65,290.93,-0.45
24.49,290.94,-0.45
24.5,290.95,0.04
24.39,290.96,-0.32
24.24,290.97,-0.43
24.38,290.98,0.4
24.39,290.99,0.03
24.44,291.0,0.12
24.6,291.01,0.45
24.53,291.02,-0.18
24.48,291.03,-0.16
24.33,291.04,-0.4
24.52,291.05,0.53
24.57,291.06,0.12
24.19,291.07,-1.08
23.79,291.08,-1.12
23.94,291.09,0.41
24.34,291.1,1.15
24.31,291.11,-0.08
24.15,291.12,-0.46
24.13,291.13,-0.06
23.92,291.14,-0.59
23.9,291.15,-0.07
23.87,291.16,-0.08
23.99,291.17,0.34
23.96,291.18,-0.08
24.08,291.19,0.34
24.03,291.2,-0.15
24.11,291.21,0.22
24.45,291.22,0.98
24.87,291.23,1.19
24.92,291.24,0.15
25.17,291.25,0.69
25.2,291.26,0.09
25.12,291.27,-0.23
24.76,291.28,-1.03
24.6,291.29,-0.44
24.54,291.3,-0.18
24.45,291.31,-0.25
24.12,291.32,-0.94
24.01,291.33,-0.29
24.1,291.34,0.25
24.08,291.35,-0.07
24.2,291.36,0.35
24.21,291.37,0.03
24.19,291.38,-0.05
24.19,291.39,0.0
24.16,291.4,-0.1
24.06,291.41,-0.28
23.74,291.42,-0.89
23.87,291.43,0.37
24.02,291.44,0.42
24.15,291.45,0.37
24.15,291.46,0.0
24.14,291.47,-0.03
24.33,291.48,0.52
24.24,291.49,-0.25
24.31,291.5,0.19
24.37,291.51,0.18
24.66,291.52,0.82
24.61,291.53,-0.16
24.67,291.54,0.17
24.68,291.55,0.04
24.6,291.56,-0.22
24.63,291.57,0.07
24.56,291.58,-0.2
24.55,291.59,-0.02
24.58,291.6,0.07
24.54,291.61,-0.1
24.64,291.62,0.28
24.76,291.63,0.34
24.96,291.64,0.57
24.82,291.65,-0.41
24.66,291.66,-0.45
24.4,291.67,-0.74
24.37,291.68,-0.08
24.32,291.69,-0.15
24.18,291.7,-0.38
24.4,291.71,0.61
24.78,291.72,1.07
24.69,291.73,-0.25
24.71,291.74,0.07
24.59,291.75,-0.33
24.34,291.76,-0.71
24.13,291.77,-0.6
24.3,291.78,0.47
24.33,291.79,0.08
24.44,291.8,0.31
24.74,291.81,0.87
24.68,291.82,-0.2
24.72,291.83,0.12
24.7,291.84,-0.05
24.61,291.85,-0.26
24.82,291.86,0.61
24.38,291.87,-1.25
24.36,291.88,-0.08
24.37,291.89,0.03
24.46,291.9,0.27
24.56,291.91,0.27
24.59,291.92,0.11
24.79,291.93,0.56
24.8,291.94,0.03
24.79,291.95,-0.01
24.6,291.96,-0.56
24.8,291.97,0.58
24.59,291.98,-0.6
24.36,291.99,-0.64
24.43,292.0,0.19
24.68,292.01,0.71
24.52,292.02,-0.46
24.69,292.03,0.48
24.77,292.04,0.24
24.67,292.05,-0.28
24.44,292.06,-0.67
24.39,292.07,-0.12
24.32,292.08,-0.2
24.47,292.09,0.42
24.56,292.1,0.24
24.73,292.11,0.49
24.67,292.12,-0.17
24.63,292.13,-0.12
24.47,292.14,-0.43
24.59,292.15,0.34
24.85,292.16,0.72
24.83,292.17,-0.06
24.81,292.18,-0.05
24.53,292.19,-0.79
24.6,292.2,0.21
24.56,292.21,-0.14
24.54,292.22,-0.04
24.58,292.23,0.11
24.37,292.24,-0.61
24.4,292.25,0.09
24.44,292.26,0.12
24.32,292.27,-0.34
24.28,292.28,-0.12
24.28,292.29,0.0
24.39,292.3,0.32
24.38,292.31,-0.05
24.32,292.32,-0.15
24.54,292.33,0.61
24.26,292.34,-0.78
24.21,292.35,-0.14
24.33,292.36,0.34
24.63,292.37,0.85
24.61,292.38,-0.05
24.55,292.39,-0.17
25.02,292.4,1.31
24.85,292.41,-0.46
24.56,292.42,-0.84
24.45,292.43,-0.3
24.64,292.44,0.55
24.5,292.45,-0.41
24.41,292.46,-0.27
24.5,292.47,0.27
24.51,292.48,0.03
24.27,292.49,-0.67
24.24,292.5,-0.1
24.19,292.51,-0.15
24.2,292.52,0.04
24.51,292.53,0.88
24.38,292.54,-0.38
24.09,292.55,-0.83
24.13,292.56,0.14
24.04,292.57,-0.26
23.97,292.58,-0.2
24.21,292.59,0.67
23.95,292.6,-0.73
24.32,292.61,1.03
24.47,292.62,0.42
24.38,292.63,-0.25
24.36,292.64,-0.04
24.53,292.65,0.48
24.85,292.66,0.9
25.07,292.67,0.62
24.88,292.68,-0.55
24.93,292.69,0.16
24.8,292.7,-0.37
24.45,292.71,-1.0
24.3,292.72,-0.42
24.29,292.73,-0.02
24.28,292.74,-0.05
24.38,292.75,0.3
24.21,292.76,-0.48
24.27,292.77,0.16
24.06,292.78,-0.61
24.03,292.79,-0.09
23.97,292.8,-0.15
24.1,292.81,0.37
24.28,292.82,0.5
24.11,292.83,-0.49
24.02,292.84,-0.26
24.06,292.85,0.13
24.05,292.86,-0.03
24.02,292.87,-0.07
24.06,292.88,0.11
24.13,292.89,0.2
23.89,292.9,-0.69
23.91,292.91,0.06
24.01,292.92,0.28
24.11,292.93,0.27
24.04,292.94,-0.18
23.89,292.95,-0.44
24.02,292.96,0.37
24.26,292.97,0.69
24.33,292.98,0.19
24.48,292.99,0.43
24.55,293.0,0.2
24.45,293.01,-0.27
24.32,293.02,-0.37
24.41,293.03,0.25
24.66,293.04,0.69
24.55,293.05,-0.31
24.42,293.06,-0.37
24.61,293.07,0.56
24.46,293.08,-0.44
24.06,293.09,-1.12
23.99,293.1,-0.2
24.02,293.11,0.09
23.7,293.12,-0.91
23.85,293.13,0.42
23.76,293.14,-0.26
23.91,293.15,0.41
23.87,293.16,-0.09
23.85,293.17,-0.07
23.71,293.18,-0.41
23.71,293.19,0.0
