idle time %,avg speed,avg long. acceleration
100.0,0,0
100.0,0,0
100.0,0,0
100.0,0,0
100.0,0,0
0.0,13.9936,-0.0603
0.0,14.1398,0.0723
0.0,13.968399999999995,-0.0439999999999999
0.0,13.9599,-0.0415999999999999
0.0,14.2139,0.0243
0.0,14.257600000000002,-0.0153999999999999
0.0,14.2604,-0.0145
0.0,13.966400000000004,0.1558999999999999
0.0,13.885600000000002,-0.18
0.0,13.7678,-0.1822
0.0,14.432599999999995,-0.0220999999999999
0.0,14.434799999999996,0.0155999999999999
0.0,14.5615,0.0739
0.0,14.571699999999998,-0.0540999999999999
0.0,13.527900000000002,0.0742
0.0,14.6469,0.0476999999999999
0.0,14.692,0.0245
0.0,13.4334,0.0445999999999999
0.0,14.701199999999998,-0.1750999999999999
0.0,14.7563,-0.0857
0.0,14.7746,0.0501
0.0,14.7919,0.1045999999999999
0.0,14.89,0.1242
0.0,13.2509,0.058
0.0,13.250800000000002,0.1366
0.0,14.9208,0.047
0.0,14.9144,0.1311
0.0,13.1867,-0.154
0.0,14.999,-0.1237999999999999
0.0,13.024699999999998,0.0518
0.0,15.146399999999998,0.01
0.0,12.9759,0.0073
0.0,12.981999999999998,0.1133
0.0,15.1901,0.0370999999999999
4.0,17.3939,-0.2447
0.0,12.8575,-0.0778
0.0,15.391000000000002,-0.1026
0.0,15.4364,0.1295
0.0,15.4672,-0.0987
0.0,15.5291,-0.0149999999999999
0.0,12.599299999999998,-0.0110999999999999
0.0,12.5982,0.0809
0.0,12.6016,0.1583
0.0,12.578400000000002,-0.04
0.0,12.555699999999996,-0.1520999999999999
0.0,15.613,0.18
0.0,15.6221,-0.1433999999999999
0.0,15.6404,-0.0475
0.0,15.647799999999997,0.1058
5.0,17.185200000000002,0.2706999999999999
0.0,12.2852,-0.0192
0.0,15.8792,-0.0446
0.0,12.264999999999995,0.0154
0.0,15.907699999999998,0.0173999999999999
0.0,15.909299999999998,0.0634
0.0,15.955700000000002,0.0652
0.0,16.149099999999997,0.0221999999999999
0.0,16.1608,0.0432
0.0,11.981899999999998,-0.0160999999999999
0.0,16.1844,-0.036
0.0,16.190800000000003,0.2921
0.0,12.102400000000005,0.8230000000000003
0.0,16.312399999999997,0.0857
0.0,16.339199999999998,0.0712999999999999
0.0,16.3338,0.1692999999999999
0.0,16.3734,0.0002999999999999
0.0,16.3953,-0.109
0.0,16.403299999999998,-0.1023
0.0,16.374,0.3778
0.0,16.4423,-0.1325999999999999
0.0,11.688999999999998,-0.1431
0.0,16.4895,0.074
0.0,11.627499999999998,-0.0403
0.0,11.582699999999996,0.1147999999999999
0.0,16.6253,-0.062
0.0,11.444599999999998,-0.1055999999999999
0.0,16.708499999999997,0.1030999999999999
0.0,16.7607,-0.1852999999999999
0.0,11.3615,0.0492
0.0,16.792199999999998,-0.1541
0.0,11.3197,0.0917
0.0,11.299999999999995,0.0602999999999999
0.0,11.279000000000002,0.1150999999999999
0.0,11.2536,0.0471999999999999
0.0,16.8989,-0.0948
0.0,11.2277,-0.0475999999999999
0.0,16.9422,0.0968
0.0,16.961399999999998,-0.1235999999999999
0.0,11.166200000000002,-0.0218999999999999
0.0,17.0063,0.1005
0.0,17.034900000000004,0.053
0.0,11.074699999999998,-0.1027
0.0,17.0946,-0.0239999999999999
0.0,17.119,0.0066
0.0,17.1549,0.0332
0.0,17.1598,0.0018999999999999
0.0,10.964400000000005,-0.1563999999999999
0.0,10.9603,0.0681
0.0,17.203999999999997,0.0508
0.0,17.2061,0.0372
0.0,17.221500000000002,-0.3382
0.0,10.7999,-0.0407999999999999
0.0,10.775900000000002,0.002
0.0,17.405800000000003,0.0337999999999999
0.0,17.4547,0.1811999999999999
0.0,17.4824,0.0374
0.0,17.5141,0.1447
0.0,17.5668,0.11
0.0,17.625900000000005,0.0359
0.0,17.630100000000002,0.0802999999999999
0.0,10.468899999999998,0.1275
0.0,17.683400000000002,-0.1891
0.0,17.7199,0.0215
0.0,10.3773,-0.0877999999999999
0.0,17.8695,-0.2843
0.0,17.999800000000004,-0.0055999999999999
0.0,18.0151,-0.0358
0.0,18.0358,-0.0498
0.0,18.0655,0.0458999999999999
0.0,18.0885,-0.1825
0.0,18.1268,0.1117
0.0,9.9807,0.0482
0.0,18.2096,-0.0130999999999999
0.0,18.2215,-0.0289999999999999
0.0,18.2174,-0.2857
0.0,18.2668,-0.0108
0.0,18.2887,0.1132
0.0,18.3161,-0.0051
0.0,18.3175,0.0144
0.0,18.3269,-0.1055
0.0,18.3752,0.0883999999999999
0.0,9.7622,0.0926
0.0,18.4075,-0.08
0.0,18.5346,0.0225999999999999
0.0,9.6106,0.017
0.0,9.6025,-0.2510999999999999
0.0,9.557,-0.0186
0.0,9.543100000000004,-0.1957
0.0,18.622,0.0444
0.0,9.5293,-0.0812
0.0,9.474199999999998,-0.0432
0.0,9.4698,0.0315
0.0,18.7127,-0.1629
0.0,18.7277,-0.1430999999999999
0.0,18.7371,0.0658999999999999
0.0,18.7513,-0.0289999999999999
0.0,18.7721,0.081
0.0,18.7943,0.0308
0.0,9.3524,0.0331
0.0,18.8048,0.0707
0.0,9.3454,0.0233
0.0,18.8078,0.0303999999999999
0.0,18.84,0.0489999999999999
0.0,9.2579,-0.023
0.0,18.9504,0.0358
0.0,18.9552,0.0630999999999999
0.0,9.0669,0.0185
0.0,19.0886,0.0731999999999999
0.0,19.1124,-0.0595999999999999
0.0,9.0283,-0.0483999999999999
0.0,8.9793,-0.0207999999999999
0.0,19.1724,0.0111
0.0,19.2175,0.0625
