Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
14.49,1020.03,0.11
14.49,1020.04,0.0
14.7,1020.05,0.59
14.87,1020.06,0.49
15.21,1020.07,0.95
14.97,1020.08,-0.69
14.5,1020.09,-1.32
14.45,1020.1,-0.15
14.62,1020.11,0.49
14.48,1020.12,-0.39
14.21,1020.13,-0.78
13.72,1020.14,-1.39
13.48,1020.15,-0.67
13.68,1020.16,0.58
14.54,1020.17,2.41
15.05,1020.18,1.45
14.66,1020.19,-1.12
14.47,1020.2,-0.52
13.89,1020.21,-1.64
13.9,1020.22,0.02
13.87,1020.23,-0.08
14.01,1020.24,0.4
13.57,1020.25,-1.23
13.25,1020.26,-0.92
13.14,1020.27,-0.31
13.09,1020.28,-0.14
13.02,1020.29,-0.19
13.45,1020.3,1.22
14.06,1020.31,1.73
14.35,1020.32,0.81
14.22,1020.33,-0.36
14.49,1020.34,0.75
14.71,1020.35,0.64
14.69,1020.36,-0.06
14.91,1020.37,0.62
14.74,1020.38,-0.49
14.11,1020.39,-1.76
13.54,1020.4,-1.62
13.36,1020.41,-0.52
13.09,1020.42,-0.77
12.83,1020.43,-0.72
12.49,1020.44,-0.98
12.44,1020.45,-0.14
12.8,1020.46,1.01
13.34,1020.47,1.53
13.91,1020.48,1.63
14.08,1020.49,0.48
14.34,1020.5,0.72
14.6,1020.51,0.75
14.57,1020.52,-0.09
14.53,1020.53,-0.12
14.38,1020.54,-0.43
14.11,1020.55,-0.76
13.87,1020.56,-0.66
13.75,1020.57,-0.35
13.62,1020.58,-0.38
13.65,1020.59,0.08
13.39,1020.6,-0.73
13.24,1020.61,-0.42
12.72,1020.62,-1.49
12.73,1020.63,0.03
12.99,1020.64,0.74
13.13,1020.65,0.4
13.14,1020.66,0.05
13.55,1020.67,1.14
14.08,1020.68,1.52
14.21,1020.69,0.37
14.3,1020.7,0.24
14.43,1020.71,0.38
14.19,1020.72,-0.69
13.47,1020.73,-2.04
13.09,1020.74,-1.06
12.93,1020.75,-0.46
12.59,1020.76,-0.97
12.19,1020.77,-1.12
12.22,1020.78,0.08
12.2,1020.79,-0.05
12.61,1020.8,1.14
12.89,1020.81,0.8
13.31,1020.82,1.18
13.65,1020.83,0.97
13.91,1020.84,0.75
13.97,1020.85,0.15
14.16,1020.86,0.54
14.28,1020.87,0.35
14.14,1020.88,-0.4
13.46,1020.89,-1.93
12.86,1020.9,-1.69
12.62,1020.91,-0.68
12.5,1020.92,-0.34
12.92,1020.93,1.19
13.07,1020.94,0.41
13.04,1020.95,-0.07
13.18,1020.96,0.4
13.27,1020.97,0.24
12.9,1020.98,-1.04
12.71,1020.99,-0.55
12.53,1021.0,-0.52
12.53,1021.01,0.03
12.35,1021.02,-0.52
12.09,1021.03,-0.73
11.47,1021.04,-1.78
11.13,1021.05,-0.96
11.21,1021.06,0.24
12.02,1021.07,2.29
12.96,1021.08,2.67
13.4,1021.09,1.24
13.73,1021.1,0.93
13.72,1021.11,-0.03
13.72,1021.12,0.01
14.05,1021.13,0.94
14.15,1021.14,0.26
14.07,1021.15,-0.23
14.17,1021.16,0.3
14.25,1021.17,0.23
13.82,1021.18,-1.23
13.42,1021.19,-1.13
14.03,1021.2,1.72
13.98,1021.21,-0.14
13.23,1021.22,-2.12
12.5,1021.23,-2.05
11.95,1021.24,-1.57
11.95,1021.25,0.01
12.17,1021.26,0.62
11.98,1021.27,-0.56
12.63,1021.28,1.85
13.37,1021.29,2.09
13.14,1021.3,-0.63
12.52,1021.31,-1.76
12.02,1021.32,-1.42
12.13,1021.33,0.29
12.11,1021.34,-0.05
10.84,1021.35,-3.59
13.89,1021.36,8.63
14.76,1021.37,2.48
14.57,1021.38,-0.54
13.88,1021.39,-1.97
12.63,1021.4,-3.53
12.04,1021.41,-1.66
11.7,1021.42,-0.98
11.61,1021.43,-0.25
12.71,1021.44,3.12
13.55,1021.45,2.37
14.11,1021.46,1.58
13.55,1021.47,-1.59
13.16,1021.48,-1.09
12.87,1021.49,-0.83
11.79,1021.5,-3.05
11.26,1021.51,-1.5
11.22,1021.52,-0.14
11.68,1021.53,1.33
12.28,1021.54,1.7
12.42,1021.55,0.4
12.31,1021.56,-0.32
12.3,1021.57,-0.04
12.19,1021.58,-0.29
12.57,1021.59,1.08
12.94,1021.6,1.04
13.28,1021.61,0.97
13.58,1021.62,0.84
13.39,1021.63,-0.55
13.1,1021.64,-0.82
13.52,1021.65,1.21
13.77,1021.66,0.69
13.37,1021.67,-1.13
12.73,1021.68,-1.81
12.92,1021.69,0.54
12.83,1021.7,-0.25
11.92,1021.71,-2.59
11.48,1021.72,-1.24
11.85,1021.73,1.04
12.3,1021.74,1.28
13.1,1021.75,2.25
13.31,1021.76,0.6
13.01,1021.77,-0.84
12.93,1021.78,-0.22
12.84,1021.79,-0.25
12.7,1021.8,-0.4
13.11,1021.81,1.14
13.99,1021.82,2.52
14.77,1021.83,2.19
14.29,1021.84,-1.35
13.33,1021.85,-2.71
12.62,1021.86,-2.03
12.47,1021.87,-0.43
12.62,1021.88,0.44
13.32,1021.89,1.98
14.18,1021.9,2.44
13.28,1021.91,-2.55
11.97,1021.92,-3.71
11.06,1021.93,-2.58
11.28,1021.94,0.62
11.62,1021.95,0.96
12.04,1021.96,1.21
12.65,1021.97,1.73
13.15,1021.98,1.4
13.05,1021.99,-0.28
11.77,1022.0,-3.62
11.7,1022.01,-0.22
11.96,1022.02,0.76
12.54,1022.03,1.64
13.17,1022.04,1.77
12.98,1022.05,-0.54
12.58,1022.06,-1.12
12.87,1022.07,0.82
12.94,1022.08,0.2
12.95,1022.09,0.01
13.03,1022.1,0.22
12.8,1022.11,-0.63
12.21,1022.12,-1.67
12.19,1022.13,-0.05
12.85,1022.14,1.86
13.14,1022.15,0.8
13.4,1022.16,0.74
13.58,1022.17,0.51
13.4,1022.18,-0.5
13.51,1022.19,0.3
14.7,1022.2,3.38
15.4,1022.21,1.98
15.28,1022.22,-0.34
15.22,1022.23,-0.15
14.29,1022.24,-2.65
13.16,1022.25,-3.18
12.45,1022.26,-2.03
12.96,1022.27,1.44
13.2,1022.28,0.69
12.75,1022.29,-1.28
11.75,1022.3,-2.82
11.88,1022.31,0.37
12.46,1022.32,1.65
12.94,1022.33,1.35
12.93,1022.34,-0.05
