Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
36.85,705.23,1.44
37.22,705.24,1.06
37.08,705.25,-0.42
36.95,705.26,-0.37
36.89,705.27,-0.16
36.81,705.28,-0.24
37.3,705.29,1.4
37.92,705.3,1.75
37.93,705.31,0.03
37.33,705.32,-1.71
36.36,705.33,-2.74
35.94,705.34,-1.18
35.88,705.35,-0.18
35.85,705.36,-0.1
35.82,705.37,-0.07
35.86,705.38,0.1
35.77,705.39,-0.25
35.82,705.4,0.15
35.23,705.41,-1.68
35.62,705.42,1.11
35.49,705.43,-0.38
34.99,705.44,-1.41
34.73,705.45,-0.75
34.77,705.46,0.13
34.71,705.47,-0.19
34.93,705.48,0.63
34.8,705.49,-0.36
35.23,705.5,1.22
35.39,705.51,0.45
35.35,705.52,-0.11
35.56,705.53,0.58
35.72,705.54,0.46
35.86,705.55,0.39
35.65,705.56,-0.59
35.7,705.57,0.15
35.03,705.58,-1.91
34.63,705.59,-1.12
34.8,705.6,0.48
34.31,705.61,-1.4
34.37,705.62,0.18
34.53,705.63,0.44
34.44,705.64,-0.23
34.84,705.65,1.12
34.93,705.66,0.25
35.38,705.67,1.28
35.71,705.68,0.93
36.15,705.69,1.26
36.16,705.7,0.02
36.16,705.71,0.0
35.89,705.72,-0.75
35.85,705.73,-0.13
35.71,705.74,-0.39
35.63,705.75,-0.24
34.92,705.76,-2.01
34.18,705.77,-2.09
34.22,705.78,0.11
34.34,705.79,0.34
34.55,705.8,0.59
34.8,705.81,0.7
34.91,705.82,0.32
34.68,705.83,-0.65
34.86,705.84,0.5
34.57,705.85,-0.8
34.25,705.86,-0.93
34.32,705.87,0.2
34.5,705.88,0.52
34.22,705.89,-0.79
34.27,705.9,0.13
34.32,705.91,0.16
35.72,705.92,3.95
35.52,705.93,-0.54
35.57,705.94,0.14
35.13,705.95,-1.27
35.57,705.96,1.27
35.09,705.97,-1.36
34.55,705.98,-1.55
34.41,705.99,-0.38
33.7,706.0,-2.02
32.01,706.01,-4.8
32.49,706.02,1.37
32.88,706.03,1.12
33.97,706.04,3.09
34.68,706.05,2.0
35.34,706.06,1.87
34.96,706.07,-1.09
34.56,706.08,-1.13
34.56,706.09,0.01
34.96,706.1,1.14
35.83,706.11,2.45
34.82,706.12,-2.86
34.66,706.13,-0.45
34.54,706.14,-0.33
34.45,706.15,-0.26
34.84,706.16,1.1
34.94,706.17,0.27
35.11,706.18,0.48
35.11,706.19,0.01
34.82,706.2,-0.84
34.86,706.21,0.11
34.64,706.22,-0.62
33.93,706.23,-2.01
34.4,706.24,1.35
33.88,706.25,-1.48
34.16,706.26,0.78
34.35,706.27,0.55
34.82,706.28,1.34
34.59,706.29,-0.66
34.6,706.3,0.04
34.84,706.31,0.66
34.5,706.32,-0.95
33.54,706.33,-2.72
33.51,706.34,-0.09
33.6,706.35,0.26
33.69,706.36,0.23
34.04,706.37,1.0
34.86,706.38,2.31
34.08,706.39,-2.19
33.78,706.4,-0.85
33.98,706.41,0.55
34.5,706.42,1.46
34.63,706.43,0.39
33.85,706.44,-2.22
33.71,706.45,-0.41
33.86,706.46,0.44
33.9,706.47,0.1
34.05,706.48,0.44
33.85,706.49,-0.58
33.44,706.5,-1.16
33.42,706.51,-0.06
33.3,706.52,-0.35
34.18,706.53,2.5
34.44,706.54,0.73
34.02,706.55,-1.19
33.48,706.56,-1.53
33.38,706.57,-0.29
33.44,706.58,0.18
33.35,706.59,-0.25
33.58,706.6,0.65
33.64,706.61,0.16
33.84,706.62,0.57
33.46,706.63,-1.07
33.74,706.64,0.77
33.86,706.65,0.36
34.39,706.66,1.5
34.42,706.67,0.07
34.17,706.68,-0.7
33.84,706.69,-0.95
33.67,706.7,-0.47
33.19,706.71,-1.36
