Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
40.36,549.2,-0.13
40.35,549.21,-0.02
40.55,549.22,0.57
40.91,549.23,1.01
41.16,549.24,0.72
41.51,549.25,0.98
41.81,549.26,0.87
41.65,549.27,-0.48
41.3,549.28,-0.99
41.14,549.29,-0.45
40.91,549.3,-0.65
40.55,549.31,-1.01
40.21,549.32,-0.98
40.41,549.33,0.58
40.66,549.34,0.71
40.78,549.35,0.35
40.78,549.36,-0.01
41.34,549.37,1.58
41.29,549.38,-0.13
41.13,549.39,-0.46
41.35,549.4,0.62
41.58,549.41,0.63
42.43,549.42,2.41
42.08,549.43,-0.97
42.03,549.44,-0.14
42.23,549.45,0.55
42.22,549.46,-0.02
41.62,549.47,-1.69
41.44,549.48,-0.52
41.09,549.49,-0.98
41.44,549.5,0.99
41.58,549.51,0.38
41.79,549.52,0.61
42.16,549.53,1.04
42.29,549.54,0.38
41.81,549.55,-1.35
41.77,549.56,-0.13
41.89,549.57,0.35
41.79,549.58,-0.27
41.82,549.59,0.08
41.54,549.6,-0.81
41.02,549.61,-1.47
40.24,549.62,-2.22
40.41,549.63,0.49
41.46,549.64,2.97
42.04,549.65,1.65
42.04,549.66,0.01
42.06,549.67,0.06
41.73,549.68,-0.93
41.72,549.69,-0.04
41.62,549.7,-0.27
41.84,549.71,0.62
42.49,549.72,1.84
42.83,549.73,0.97
43.02,549.74,0.53
42.8,549.75,-0.64
43.05,549.76,0.72
43.32,549.77,0.77
43.11,549.78,-0.6
42.33,549.79,-2.22
41.64,549.8,-1.96
41.13,549.81,-1.42
40.71,549.82,-1.19
40.47,549.83,-0.7
41.12,549.84,1.85
41.65,549.85,1.51
41.97,549.86,0.91
42.35,549.87,1.07
42.72,549.88,1.04
42.53,549.89,-0.53
42.31,549.9,-0.63
41.13,549.91,-3.33
40.54,549.92,-1.67
39.18,549.93,-3.86
39.52,549.94,0.96
41.44,549.95,5.43
41.86,549.96,1.19
42.38,549.97,1.48
42.82,549.98,1.26
43.0,549.99,0.5
42.47,550.0,-1.51
42.42,550.01,-0.15
42.63,550.02,0.61
42.64,550.03,0.02
42.74,550.04,0.29
43.18,550.05,1.25
